date,value,measure
2021-01-04,-0.069332105,UK risk premium
2021-01-05,-0.053777241,UK risk premium
2021-01-06,-0.02713348,UK risk premium
2021-01-07,0.020634845,UK risk premium
2021-01-08,0.0228789,UK risk premium
2021-01-11,0.030810914,UK risk premium
2021-01-12,0.037472445,UK risk premium
2021-01-13,0.046869371,UK risk premium
2021-01-14,0.050211708,UK risk premium
2021-01-15,0.06186916,UK risk premium
2021-01-18,0.060514385,UK risk premium
2021-01-19,0.043442543,UK risk premium
2021-01-20,0.040559998,UK risk premium
2021-01-21,0.0575418,UK risk premium
2021-01-22,0.053466889,UK risk premium
2021-01-25,0.016189002,UK risk premium
2021-01-26,0.031511584,UK risk premium
2021-01-27,0.027864031,UK risk premium
2021-01-28,0.019582266,UK risk premium
2021-01-29,0.042461975,UK risk premium
2021-02-01,0.035655068,UK risk premium
2021-02-02,0.042691234,UK risk premium
2021-02-03,0.064947049,UK risk premium
2021-02-04,0.088945642,UK risk premium
2021-02-05,0.145346429,UK risk premium
2021-02-08,0.155074122,UK risk premium
2021-02-09,0.137808351,UK risk premium
2021-02-10,0.158035972,UK risk premium
2021-02-11,0.147450904,UK risk premium
2021-02-12,0.199518212,UK risk premium
2021-02-15,0.25006416,UK risk premium
2021-02-16,0.309932507,UK risk premium
2021-02-17,0.293727835,UK risk premium
2021-02-18,0.34318194,UK risk premium
2021-02-19,0.409858395,UK risk premium
2021-02-22,0.415456419,UK risk premium
2021-02-23,0.462326947,UK risk premium
2021-02-24,0.499260728,UK risk premium
2021-02-25,0.478611375,UK risk premium
2021-02-26,0.503781876,UK risk premium
2021-03-01,0.451648271,UK risk premium
2021-03-02,0.453795267,UK risk premium
2021-03-03,0.51498239,UK risk premium
2021-03-04,0.469807688,UK risk premium
2021-03-05,0.495111781,UK risk premium
2021-03-08,0.490113433,UK risk premium
2021-03-09,0.464017188,UK risk premium
2021-03-10,0.474424632,UK risk premium
2021-03-11,0.473028734,UK risk premium
2021-03-12,0.557198215,UK risk premium
2021-03-15,0.537427336,UK risk premium
2021-03-16,0.533701615,UK risk premium
2021-03-17,0.572995344,UK risk premium
2021-03-18,0.640343581,UK risk premium
2021-03-19,0.605508163,UK risk premium
2021-03-22,0.574231081,UK risk premium
2021-03-23,0.527412833,UK risk premium
2021-03-24,0.511534884,UK risk premium
2021-03-25,0.514208374,UK risk premium
