Country,Region,Score,Global Rank,Regional Rank,Year,ISO3
Albania,Central Eastern Europe and Central Asia,4.509,82,20,2024,ALB
Algeria,Middle East and North Africa,4.142,97,12,2024,DZA
Angola,Africa,3.221,119,24,2024,AGO
Argentina,Latin America & Caribbean,4.181,94,14,2024,ARG
Armenia,Central Eastern Europe and Central Asia,5.216,53,10,2024,ARM
Australia,Asia and Oceania,7.689,8,3,2024,AUS
Austria,Western Europe,7.560,13,9,2024,AUT
Azerbaijan,Central Eastern Europe and Central Asia,5.008,61,13,2024,AZE
Bahrain,Middle East and North Africa,5.719,43,6,2024,BHR
Bangladesh,Asia and Oceania,3.657,108,18,2024,BGD
Belgium,Western Europe,7.297,18,12,2024,BEL
Benin,Africa,4.257,93,12,2024,BEN
Bolivia,Latin America & Caribbean,3.364,117,18,2024,BOL
Bosnia and Herzegovina,Central Eastern Europe and Central Asia,4.143,96,22,2024,BIH
Botswana,Africa,5.558,44,1,2024,BWA
Brazil,Latin America & Caribbean,4.546,80,10,2024,BRA
Brunei Darussalam,Asia and Oceania,5.539,45,8,2024,BRN
Bulgaria,Central Eastern Europe and Central Asia,5.132,56,12,2024,BGR
Burkina Faso,Africa,4.089,99,13,2024,BFA
Burundi,Africa,3.735,107,17,2024,BDI
Cameroon,Africa,3.640,109,18,2024,CMR
Canada,North America,7.406,16,2,2024,CAN
Chad,Africa,3.023,121,26,2024,TCD
Chile,Latin America & Caribbean,5.927,38,2,2024,CHL
China,Asia and Oceania,5.285,51,9,2024,CHN
Colombia,Latin America & Caribbean,4.570,79,9,2024,COL
"Congo, Dem. Rep.",Africa,2.992,122,27,2024,COD
Costa Rica,Latin America & Caribbean,5.835,39,3,2024,CRI
Croatia,Central Eastern Europe and Central Asia,5.197,54,11,2024,HRV
Cyprus,Central Eastern Europe and Central Asia,5.948,37,5,2024,CYP
Czech Republic,Central Eastern Europe and Central Asia,6.542,23,1,2024,CZE
Côte d'Ivoire,Africa,4.071,100,14,2024,CIV
Denmark,Western Europe,7.774,3,2,2024,DNK
Dominican Republic,Latin America & Caribbean,4.707,69,7,2024,DOM
Ecuador,Latin America & Caribbean,4.142,98,15,2024,ECU
Egypt,Middle East and North Africa,4.330,87,11,2024,EGY
El Salvador,Latin America & Caribbean,4.272,90,13,2024,SLV
Ethiopia,Africa,3.173,120,25,2024,ETH
Finland,Western Europe,8.081,1,1,2024,FIN
France,Western Europe,7.002,20,14,2024,FRA
Gabon,Africa,3.763,104,15,2024,GAB
Georgia,Central Eastern Europe and Central Asia,4.931,65,14,2024,GEO
Germany,Western Europe,7.681,10,7,2024,DEU
Ghana,Africa,4.945,64,4,2024,GHA
Greece,Western Europe,5.111,57,19,2024,GRC
