Wait,Demographic,Region,% of sample
Less than one month,Region,North East,30
1 to 3 months,Region,North East,28.8
4 to 6 months,Region,North East,16.3
7 to 11 months,Region,North East,11.6
12 to 18 months,Region,North East,6.7
More than 18 months,Region,North East,4
Do not know,Region,North East,2.2
Prefer not to say,Region,North East,0.4
6 months or less ,Region,North East,75
12 months or longer ,Region,North East,10.7
Less than one month,Region,North West,28.8
1 to 3 months,Region,North West,26.3
4 to 6 months,Region,North West,14.7
7 to 11 months,Region,North West,12.4
12 to 18 months,Region,North West,7.5
More than 18 months,Region,North West,8.6
Do not know,Region,North West,1.3
Prefer not to say,Region,North West,0.4
6 months or less ,Region,North West,69.8
12 months or longer ,Region,North West,16.1
Less than one month,Region,Yorkshire and The Humber,31.6
1 to 3 months,Region,Yorkshire and The Humber,29.5
4 to 6 months,Region,Yorkshire and The Humber,19.1
7 to 11 months,Region,Yorkshire and The Humber,8.6
12 to 18 months,Region,Yorkshire and The Humber,4.6
More than 18 months,Region,Yorkshire and The Humber,4.7
Do not know,Region,Yorkshire and The Humber,1.6
Prefer not to say,Region,Yorkshire and The Humber,0.3
6 months or less ,Region,Yorkshire and The Humber,80.1
12 months or longer ,Region,Yorkshire and The Humber,9.3
Less than one month,Region,East Midlands,28.5
1 to 3 months,Region,East Midlands,30.5
4 to 6 months,Region,East Midlands,14.5
7 to 11 months,Region,East Midlands,11.4
12 to 18 months,Region,East Midlands,7.2
More than 18 months,Region,East Midlands,6
Do not know,Region,East Midlands,1.6
Prefer not to say,Region,East Midlands,0.3
6 months or less ,Region,East Midlands,73.5
12 months or longer ,Region,East Midlands,13.2
Less than one month,Region,West Midlands,26.8
1 to 3 months,Region,West Midlands,26.7
4 to 6 months,Region,West Midlands,18.6
7 to 11 months,Region,West Midlands,11.8
12 to 18 months,Region,West Midlands,6.5
More than 18 months,Region,West Midlands,7
Do not know,Region,West Midlands,2.1
Prefer not to say,Region,West Midlands,0.5
6 months or less ,Region,West Midlands,72.2
12 months or longer ,Region,West Midlands,13.5
Less than one month,Region,East of England,32
1 to 3 months,Region,East of England,24.9
4 to 6 months,Region,East of England,13.7
7 to 11 months,Region,East of England,11.8
12 to 18 months,Region,East of England,6.1
More than 18 months,Region,East of England,9
Do not know,Region,East of England,2.1
Prefer not to say,Region,East of England,0.3
6 months or less ,Region,East of England,70.6
12 months or longer ,Region,East of England,15.1
Less than one month,Region,London,29.5
1 to 3 months,Region,London,26
4 to 6 months,Region,London,16.8
7 to 11 months,Region,London,12.2
12 to 18 months,Region,London,7.1
More than 18 months,Region,London,6.1
Do not know,Region,London,1.6
Prefer not to say,Region,London,0.7
6 months or less ,Region,London,72.3
12 months or longer ,Region,London,13.2
Less than one month,Region,South East,30.1
1 to 3 months,Region,South East,25.9
4 to 6 months,Region,South East,15.3
7 to 11 months,Region,South East,10.4
12 to 18 months,Region,South East,7.5
More than 18 months,Region,South East,7.6
Do not know,Region,South East,2.8
Prefer not to say,Region,South East,0.5
6 months or less ,Region,South East,71.3
12 months or longer ,Region,South East,15
Less than one month,Region,South West,32.8
1 to 3 months,Region,South West,28
4 to 6 months,Region,South West,13
7 to 11 months,Region,South West,8.3
12 to 18 months,Region,South West,9.4
More than 18 months,Region,South West,6.6
Do not know,Region,South West,1.1
Prefer not to say,Region,South West,0.7
6 months or less ,Region,South West,73.8
12 months or longer ,Region,South West,16.1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
