Waiting Time,Region,% of sample,Months
Less than one month,East Midlands,28.5,> 1
Less than one month,East of England,32,> 1
Less than one month,London,29.5,> 1
Less than one month,North East,30,> 1
Less than one month,North West,28.8,> 1
Less than one month,South East,30.1,> 1
Less than one month,South West,32.8,> 1
Less than one month,West Midlands,26.8,> 1
Less than one month,Yorkshire and The Humber,31.6,> 1
1 to 3 months,East Midlands,30.5,1 to 3
1 to 3 months,East of England,24.9,1 to 3
1 to 3 months,London,26,1 to 3
1 to 3 months,North East,28.8,1 to 3
1 to 3 months,North West,26.3,1 to 3
1 to 3 months,South East,25.9,1 to 3
1 to 3 months,South West,28,1 to 3
1 to 3 months,West Midlands,26.7,1 to 3
1 to 3 months,Yorkshire and The Humber,29.5,1 to 3
4 to 6 months,East Midlands,14.5,4 to 6
4 to 6 months,East of England,13.7,4 to 6
4 to 6 months,London,16.8,4 to 6
4 to 6 months,North East,16.3,4 to 6
4 to 6 months,North West,14.7,4 to 6
4 to 6 months,South East,15.3,4 to 6
4 to 6 months,South West,13,4 to 6
4 to 6 months,West Midlands,18.6,4 to 6
4 to 6 months,Yorkshire and The Humber,19.1,4 to 6
7 to 11 months,East Midlands,11.4,7 to 11
7 to 11 months,East of England,11.8,7 to 11
7 to 11 months,London,12.2,7 to 11
7 to 11 months,North East,11.6,7 to 11
7 to 11 months,North West,12.4,7 to 11
7 to 11 months,South East,10.4,7 to 11
7 to 11 months,South West,8.3,7 to 11
7 to 11 months,West Midlands,11.8,7 to 11
7 to 11 months,Yorkshire and The Humber,8.6,7 to 11
12 months or longer ,East Midlands,13.2,< 12
12 months or longer ,East of England,15.1,< 12
12 months or longer ,London,13.2,< 12
12 months or longer ,North East,10.7,< 12
12 months or longer ,North West,16.1,< 12
12 months or longer ,South East,15,< 12
12 months or longer ,South West,16.1,< 12
12 months or longer ,West Midlands,13.5,< 12
12 months or longer ,Yorkshire and The Humber,9.3,< 12
Do Not Know or Prefer Not to Say,East Midlands,1.9,No Response
Do Not Know or Prefer Not to Say,East of England,2.4,No Response
Do Not Know or Prefer Not to Say,London,2.3,No Response
Do Not Know or Prefer Not to Say,North East,2.6,No Response
Do Not Know or Prefer Not to Say,North West,1.7,No Response
Do Not Know or Prefer Not to Say,South East,3.3,No Response
Do Not Know or Prefer Not to Say,South West,1.8,No Response
Do Not Know or Prefer Not to Say,West Midlands,2.6,No Response
Do Not Know or Prefer Not to Say,Yorkshire and The Humber,1.9,No Response
