Year,Jurisdiction,Score,Subject
2022,OECD Average,475.5888735,Reading
2022,UK,494.4046261,Reading
2022,Scotland,492.7764838,Reading
2018,OECD Average,485.4874063,Reading
2018,UK,503.9281094,Reading
2018,Scotland,503.9827505,Reading
2015,OECD Average,488.5266081,Reading
2015,UK,497.9719311,Reading
2015,Scotland,493.1846588,Reading
2012,OECD Average,491.8212067,Reading
2012,UK,499.3231153,Reading
2012,Scotland,506.1284265,Reading
2009,OECD Average,490.3437924,Reading
2009,UK,494.18201,Reading
2009,Scotland,500.1053337,Reading
2006,OECD Average,485.3536053,Reading
2006,UK,495.0835096,Reading
2006,Scotland,498.7651065,Reading
2022,OECD Average,472.3581246,Mathematics
2022,UK,488.975085,Mathematics
2022,Scotland,470.6216169,Mathematics
2018,OECD Average,486.998322,Mathematics
2018,UK,501.7698992,Mathematics
2018,Scotland,488.9446447,Mathematics
2015,OECD Average,484.8793967,Mathematics
2015,UK,492.4785307,Mathematics
2015,Scotland,491.1646422,Mathematics
2012,OECD Average,488.1641537,Mathematics
2012,UK,493.934231,Mathematics
2012,Scotland,498.4428013,Mathematics
2009,OECD Average,491.7185799,Mathematics
2009,UK,492.4140783,Mathematics
2009,Scotland,499.0189992,Mathematics
2006,OECD Average,490.4076084,Mathematics
2006,UK,495.4441585,Mathematics
2006,Scotland,505.7123966,Mathematics
2022,OECD Average,484.6466145,Science
2022,UK,499.6702139,Science
2022,Scotland,483.3097374,Science
2018,OECD Average,486.7402743,Science
2018,UK,504.6674736,Science
2018,Scotland,490.2546724,Science
2015,OECD Average,488.7580445,Science
2015,UK,509.2215029,Science
2015,Scotland,496.7553125,Science
2012,OECD Average,496.4405107,Science
2012,UK,514.129322,Science
2012,Scotland,513.4272372,Science
2009,OECD Average,497.7225644,Science
2009,UK,513.7102399,Science
2009,Scotland,514.2279303,Science
2006,OECD Average,494.8049175,Science
2006,UK,514.7735479,Science
2006,Scotland,514.7354375,Science
