source,group,value
Salaries/Wages,Black African,58.04163657
Remittances,Black African,15.33460301
Grants,Black African,53.8451435
Income from a business,Black African,14.96026795
Other,Black African,2.502134367
Pensions,Black African,1.989886386
No Income,Black African,1.976751822
Salaries/Wages,Coloured,72.33704293
Remittances,Coloured,7.313195548
Grants,Coloured,56.51828299
Income from a business,Coloured,9.618441971
Other,Coloured,2.464228935
Pensions,Coloured,4.689984102
No Income,Coloured,0.79491256
Salaries/Wages,Indian/Asian,67.66055046
Remittances,Indian/Asian,7.798165138
Grants,Indian/Asian,32.11009174
Income from a business,Indian/Asian,28.66972477
Other,Indian/Asian,8.027522936
Pensions,Indian/Asian,7.339449541
No Income,Indian/Asian,0
Salaries/Wages,White,63.94601542
Remittances,White,5.976863753
Grants,White,14.46015424
Income from a business,White,27.37789203
Other,White,7.840616967
Pensions,White,21.07969152
No Income,White,1.413881748
