region,source,value
Tribal areas (former homelands),Grants,41
Tribal areas (former homelands),Salaries/Wages,31
Tribal areas (former homelands),Remittances,16
Tribal areas (former homelands),Income from a business,6
Tribal areas (former homelands),Other / Unspecified,5
Tribal areas (former homelands),No Income,1
Tribal areas (former homelands),Pensions,1
Other areas,Grants,13
Other areas,Salaries/Wages,66
Other areas,Remittances,6
Other areas,Income from a business,8
Other areas,Other / Unspecified,4
Other areas,No Income,1
Other areas,Pensions,1
