date,value
1929-01-01,0.4
1930-01-01,0.4
1931-01-01,0
1932-01-01,0.1
1933-01-01,0.1
1934-01-01,0.5
1935-01-01,-0.3
1936-01-01,-0.2
1937-01-01,0.1
1938-01-01,1.1
1939-01-01,0.9
1940-01-01,1.4
1941-01-01,0.8
1942-01-01,-0.2
1943-01-01,-1.1
1944-01-01,-0.9
1945-01-01,-0.3
1946-01-01,3.2
1947-01-01,4.3
1948-01-01,2
1949-01-01,1.9
1950-01-01,0.2
1951-01-01,0.7
1952-01-01,0.3
1953-01-01,-0.2
1954-01-01,0.1
1955-01-01,0.1
1956-01-01,0.5
1957-01-01,0.9
1958-01-01,0.1
1959-01-01,0.1
1960-01-01,0.8
1961-01-01,0.9
1962-01-01,0.7
1963-01-01,0.8
1964-01-01,1
1965-01-01,0.8
1966-01-01,0.5
1967-01-01,0.4
1968-01-01,0.1
1969-01-01,0.1
1970-01-01,0.4
1971-01-01,0.1
1972-01-01,-0.3
1973-01-01,0.3
1974-01-01,-0.1
1975-01-01,0.9
1976-01-01,-0.1
1977-01-01,-1.1
1978-01-01,-1.1
1979-01-01,-0.9
1980-01-01,-0.5
1981-01-01,-0.4
1982-01-01,-0.6
1983-01-01,-1.4
1984-01-01,-2.5
1985-01-01,-2.6
1986-01-01,-2.9
1987-01-01,-3
1988-01-01,-2.1
1989-01-01,-1.5
1990-01-01,-1.3
1991-01-01,-0.5
1992-01-01,-0.5
1993-01-01,-1
1994-01-01,-1.3
1995-01-01,-1.2
1996-01-01,-1.2
1997-01-01,-1.2
1998-01-01,-1.8
1999-01-01,-2.7
2000-01-01,-3.7
2001-01-01,-3.6
2002-01-01,-4
2003-01-01,-4.6
2004-01-01,-5.2
2005-01-01,-5.7
2006-01-01,-5.7
2007-01-01,-5.1
2008-01-01,-5
2009-01-01,-2.9
2010-01-01,-3.5
2011-01-01,-3.7
2012-01-01,-3.4
2013-01-01,-2.8
2014-01-01,-2.9
2015-01-01,-2.9
2016-01-01,-2.7
2017-01-01,-2.8
2018-01-01,-2.9
2019-01-01,-2.7
2020-01-01,-2.9
2021-01-01,-3.6
2022-01-01,-3.7
2023-01-01,-2.9
