Party,State,Number of Ads
DEM,Washington,55820
DEM,Pennsylvania,33970
DEM,Florida,33846
DEM,Michigan,33546
DEM,North Carolina,33198
DEM,Arizona,33043
DEM,Wisconsin,32979
DEM,Georgia,32455
DEM,Virginia,32333
DEM,New York,32331
DEM,Texas,32234
DEM,California,32186
DEM,Illinois,32022
DEM,Ohio,31855
DEM,New Jersey,31808
DEM,Minnesota,31781
DEM,Massachusetts,31594
DEM,Maryland,31587
DEM,Missouri,30968
DEM,Indiana,30915
DEM,Tennessee,30843
DEM,Colorado,30640
DEM,Oregon,30374
DEM,South Carolina,29927
DEM,Connecticut,29907
DEM,Kentucky,29738
DEM,Iowa,29515
DEM,Alabama,29160
DEM,Nevada,28921
DEM,Oklahoma,28694
DEM,New Mexico,28614
DEM,Kansas,28323
DEM,Louisiana,28199
DEM,Arkansas,27597
DEM,Utah,26221
DEM,Nebraska,25819
DEM,Maine,25745
DEM,Mississippi,25512
DEM,West Virginia,25456
DEM,New Hampshire,24855
DEM,Hawaii,24354
DEM,Delaware,24086
DEM,Idaho,23926
DEM,Rhode Island,23764
DEM,Montana,23219
DEM,Vermont,22127
DEM,Alaska,21745
DEM,South Dakota,20725
DEM,North Dakota,18364
DEM,Wyoming,16736
REP,Pennsylvania,13154
REP,Florida,12299
REP,North Carolina,12174
REP,Georgia,12006
REP,Washington,11980
REP,Arizona,11553
REP,Wisconsin,10855
REP,Ohio,10119
REP,Michigan,10084
REP,Minnesota,9900
REP,Nevada,9815
REP,Iowa,9693
REP,Texas,9302
REP,New Hampshire,8972
REP,Maine,8515
REP,New York,8292
REP,Louisiana,8243
REP,Colorado,8178
REP,Virginia,8159
REP,Illinois,7894
REP,New Jersey,7854
REP,California,7749
REP,Indiana,7738
REP,South Carolina,7714
REP,Missouri,7689
REP,Oklahoma,7683
REP,Tennessee,7629
REP,Kentucky,7565
REP,Massachusetts,7474
REP,Maryland,7447
REP,Arkansas,7416
REP,Alabama,7415
REP,Utah,7413
REP,Kansas,7390
REP,Oregon,7334
REP,Connecticut,7283
REP,West Virginia,7275
REP,Nebraska,7275
REP,New Mexico,7264
REP,Idaho,7122
REP,Mississippi,7023
REP,Montana,6853
REP,Wyoming,6767
REP,North Dakota,6712
REP,South Dakota,6693
REP,Delaware,6642
REP,Alaska,6558
REP,Rhode Island,6406
REP,Hawaii,6191
REP,Vermont,6044
