State,Party,Ads,Ads_pc,Population,gdppc_th,total_don,party_don,gdp 
Alabama,Democrat,29160,2.006085677,5.04,41.664,45856354,15.35,247.09
Alaska,Democrat,21745,1.495964782,0.73,69.43,10425219,31.56,54.97
Arizona,Democrat,33043,2.273219788,7.28,47.779,70412397,47.89,411.19
Arkansas,Democrat,27597,1.898557834,3.03,40.764,40513929,16.7,144.55
California,Democrat,32186,2.214261783,39.24,73.264,723813338,67.47,3356.63
Colorado,Democrat,30640,2.107903468,5.81,64.308,89200512,56.42,421.94
Connecticut,Democrat,29907,2.057476143,3.61,68.381,68752602,61.35,296.5
Delaware,Democrat,24086,1.657015762,1,64.187,33714791,58.08,80.72
Florida,Democrat,33846,2.32846282,21.78,47.269,346067522,32.1,1226.3
Georgia,Democrat,32455,2.232767855,10.8,53.27,113552609,33.6,683.3
Hawaii,Democrat,24354,1.675453038,1.44,51.713,7343917,71.76,90.06
Idaho,Democrat,23926,1.646008433,1.9,42.134,15174819,32.72,94.32
Illinois,Democrat,32022,2.202979271,12.67,61.56,334501578,61.89,938.35
Indiana,Democrat,30915,2.126822315,6.81,50.873,48486383,33.93,420.34
Iowa,Democrat,29515,2.030508188,3.19,56.295,23900755,48.03,219.84
Kansas,Democrat,28323,1.948503588,2.93,55.303,44185122,32.2,192.3
Kentucky,Democrat,29738,2.045849652,4.51,43.868,25037710,46.66,234.5
Louisiana,Democrat,28199,1.939972908,4.62,47.827,32421020,25.91,255.31
Maine,Democrat,25745,1.771148002,1.37,46.343,8971718,64.51,76.06
Maryland,Democrat,31587,2.173053096,6.17,59.783,98195412,75.07,438.23
Massachusetts,Democrat,31594,2.173534667,6.98,76.324,151595422,78.81,636.51
Michigan,Democrat,33546,2.307824078,10.05,47.934,79008757,48.16,568.41
Minnesota,Democrat,31781,2.186399482,5.71,60.659,53485088,57.09,412
Mississippi,Democrat,25512,1.75511858,2.95,35.374,11836521,16.24,125.11
Missouri,Democrat,30968,2.130468493,6.17,47.937,58888627,31.42,359.95
Montana,Democrat,23219,1.597369799,1.1,44.352,11752364,48.04,59.3
Nebraska,Democrat,25819,1.776238892,1.96,62.197,17071268,31.17,150.39
Nevada,Democrat,28921,1.989643479,3.14,50.753,82612079,33.19,192.96
New Hampshire,Democrat,24855,1.709919736,1.39,59.746,21343963,59.46,98.24
New Jersey,Democrat,31808,2.188256969,9.27,61.172,88812710,65.13,672.09
New Mexico,Democrat,28614,1.968523167,2.12,44.249,20417405,65.9,108.93
New York,Democrat,32331,2.224237175,19.84,76.365,646182762,72.81,1853.93
North Carolina,Democrat,33198,2.283883138,10.55,51.362,84757101,47.2,654.99
North Dakota,Democrat,18364,1.263366165,0.77,69.429,5924225,18.17,63.39
Ohio,Democrat,31855,2.191490372,11.78,53.42,100519622,42.49,736.45
Oklahoma,Democrat,28694,1.974026832,3.99,48.469,39630963,27.42,206.75
Oregon,Democrat,30374,2.089603784,4.25,53.691,38283244,67.42,266.94
Pennsylvania,Democrat,33970,2.336993499,12.96,54.842,179768089,56.51,839.44
Rhode Island,Democrat,23764,1.634863513,1.1,49.841,11306763,75.8,65.94
South Carolina,Democrat,29927,2.058852059,5.19,42.585,29939549,27.98,270.08
South Dakota,Democrat,20725,1.425793061,0.9,55.349,7888437,21.72,61.21
Tennessee,Democrat,30843,2.121869017,6.98,50.53,55091006,29.59,418.29
Texas,Democrat,32234,2.217563982,29.53,61.469,278268740,29.54,1985.32
Utah,Democrat,26221,1.803894806,3.34,55.995,24814677,23.95,220.34
Vermont,Democrat,22127,1.52224478,0.65,47.318,7662501,80.99,36.17
Virginia,Democrat,32333,2.224374767,8.64,58.474,312138418,43.59,591.85
Washington,Democrat,55820,3.840181841,7.74,74.319,121643214,66.05,667.58
West Virginia,Democrat,25456,1.751266015,1.78,40.014,4935805,37.65,87.39
Wisconsin,Democrat,32979,2.268816857,5.9,51.98,80154346,43.44,365.93
Wyoming,Democrat,16736,1.151366594,0.58,62.888,43589344,27.06,41.62
Alabama,Republican,7415,1.779009369,5.04,41.664,45856354,78.77,247.09
Alaska,Republican,6558,1.573397632,0.73,69.43,10425219,63.12,54.97
Arizona,Republican,11553,2.771799762,7.28,47.779,70412397,47.25,411.19
Arkansas,Republican,7416,1.779249289,3.03,40.764,40513929,79.19,144.55
California,Republican,7749,1.859142765,39.24,73.264,723813338,27.95,3356.63
Colorado,Republican,8178,1.962068593,5.81,64.308,89200512,39.46,421.94
Connecticut,Republican,7283,1.747339883,3.61,68.381,68752602,34.94,296.5
Delaware,Republican,6642,1.593550941,1,64.187,33714791,37.11,80.72
Florida,Republican,12299,2.950780341,21.78,47.269,346067522,61.7,1226.3
Georgia,Republican,12006,2.880483679,10.8,53.27,113552609,62.73,683.3
Hawaii,Republican,6191,1.485346865,1.44,51.713,7343917,22.71,90.06
Idaho,Republican,7122,1.708712707,1.9,42.134,15174819,60.26,94.32
Illinois,Republican,7894,1.893931215,12.67,61.56,334501578,34.44,938.35
Indiana,Republican,7738,1.856503641,6.81,50.873,48486383,59.37,420.34
Iowa,Republican,9693,2.325547918,3.19,56.295,23900755,48.65,219.84
Kansas,Republican,7390,1.77301136,2.93,55.303,44185122,61.67,192.3
Kentucky,Republican,7565,1.814997421,4.51,43.868,25037710,49.75,234.5
Louisiana,Republican,8243,1.977663416,4.62,47.827,32421020,65.63,255.31
Maine,Republican,8515,2.04292175,1.37,46.343,8971718,30.89,76.06
Maryland,Republican,7447,1.78668682,6.17,59.783,98195412,20.87,438.23
Massachusetts,Republican,7474,1.793164669,6.98,76.324,151595422,16.53,636.51
Michigan,Republican,10084,2.419356774,10.05,47.934,79008757,47.04,568.41
Minnesota,Republican,9900,2.37521143,5.71,60.659,53485088,38.31,412
Mississippi,Republican,7023,1.684960593,2.95,35.374,11836521,77.6,125.11
Missouri,Republican,7689,1.844747544,6.17,47.937,58888627,63.81,359.95
Montana,Republican,6853,1.644174134,1.1,44.352,11752364,43.67,59.3
Nebraska,Republican,7275,1.74542052,1.96,62.197,17071268,64.45,150.39
Nevada,Republican,9815,2.3548182,3.14,50.753,82612079,61.91,192.96
New Hampshire,Republican,8972,2.152565348,1.39,59.746,21343963,37.96,98.24
New Jersey,Republican,7854,1.884334401,9.27,61.172,88812710,30.84,672.09
New Mexico,Republican,7264,1.742781397,2.12,44.249,20417405,30.3,108.93
New York,Republican,8292,1.989419513,19.84,76.365,646182762,22.74,1853.93
North Carolina,Republican,12174,2.920790298,10.55,51.362,84757101,48.27,654.99
North Dakota,Republican,6712,1.610345365,0.77,69.429,5924225,74.13,63.39
Ohio,Republican,10119,2.427753986,11.78,53.42,100519622,52.32,736.45
Oklahoma,Republican,7683,1.843308022,3.99,48.469,39630963,65.25,206.75
Oregon,Republican,7334,1.759575821,4.25,53.691,38283244,27.83,266.94
Pennsylvania,Republican,13154,3.155912237,12.96,54.842,179768089,39.9,839.44
Rhode Island,Republican,6406,1.536929739,1.1,49.841,11306763,20.06,65.94
South Carolina,Republican,7714,1.850745552,5.19,42.585,29939549,65.57,270.08
South Dakota,Republican,6693,1.605786879,0.9,55.349,7888437,73.19,61.21
Tennessee,Republican,7629,1.830352323,6.98,50.53,55091006,65.03,418.29
Texas,Republican,9302,2.231739063,29.53,61.469,278268740,63.8,1985.32
Utah,Republican,7413,1.778529528,3.34,55.995,24814677,57.36,220.34
Vermont,Republican,6044,1.450078574,0.65,47.318,7662501,15.22,36.17
Virginia,Republican,8159,1.957510107,8.64,58.474,312138418,52.03,591.85
Washington,Republican,11980,2.87424575,7.74,74.319,121643214,29.46,667.58
West Virginia,Republican,7275,1.74542052,1.78,40.014,4935805,55.99,87.39
Wisconsin,Republican,10855,2.604335361,5.9,51.98,80154346,53.75,365.93
Wyoming,Republican,6767,1.623540984,0.58,62.888,43589344,68.12,41.62
