country,value,rank,iso3
Afghanistan,0.0,150,AFG
Albania,242.46,67,ALB
Algeria,99.91,101,DZA
American Samoa,0.0,158,ASM
Andorra,0.0,155,AND
Angola,68.36,118,AGO
Anguilla,0.0,152,AIA
Antarctica,0.0,159,ATA
Antigua and Barbuda,0.0,161,ATG
Argentina,292.47,64,ARG
Armenia,318.22,61,ARM
Aruba,0.0,149,ABW
Australia,1079.13,15,AUS
Austria,1413.67,8,AUT
Azerbaijan,206.49,74,AZE
Bahamas,0.0,169,BHS
Bahrain,516.35,45,BHR
Bangladesh,72.15,115,BGD
Barbados,0.0,177,BRB
Belarus,198.74,76,BLR
Belgium,1290.44,9,BEL
Belize,174.77,83,BLZ
Benin,69.93,116,BEN
Bermuda,0.0,174,BMU
Bhutan,230.73,70,BTN
Bolivia,87.6,108,BOL
"Bonaire, Sint Eustatius and Saba",0.0,165,BES
Bosnia and Herzegovina,296.35,62,BIH
Botswana,143.96,87,BWA
Bouvet Island,0.0,180,BVT
Brazil,319.35,60,BRA
British Indian Ocean Territory,0.0,235,IOT
Brunei Darussalam,234.66,68,BRN
Bulgaria,343.24,56,BGR
Burkina Faso,21.99,140,BFA
Burundi,6.81,148,BDI
Cabo Verde,0.0,192,CPV
Cambodia,19.97,141,KHM
Cameroon,94.7,105,CMR
Canada,985.3,19,CAN
Cayman Islands,0.0,197,CYM
Central African Republic,0.0,182,CAF
Chad,32.74,133,TCD
Chile,541.21,42,CHL
China,232.7,69,CHN
Christmas Island,0.0,196,CXR
Cocos (Keeling) Islands,0.0,183,CCK
Colombia,338.18,58,COL
Comoros,0.0,191,COM
"Congo, The Democratic Republic of the",0.0,187,COD
Cook Islands,0.0,189,COK
Costa Rica,343.69,55,CRI
Croatia,523.56,44,HRV
Cuba,51.05,123,CUB
Curaçao,0.0,195,CUW
Cyprus,781.58,29,CYP
Czechia,607.55,37,CZE
Côte d'Ivoire,0.0,185,CIV
Denmark,1284.49,10,DNK
Djibouti,0.0,198,DJI
Dominica,0.0,199,DMA
Dominican Republic,142.2,90,DOM
Ecuador,143.34,88,ECU
Egypt,138.48,92,EGY
El Salvador,96.34,104,SLV
Equatorial Guinea,213.48,73,GNQ
Eritrea,0.0,204,ERI
Estonia,959.89,22,EST
Eswatini,0.0,314,SWZ
Ethiopia,33.21,132,ETH
Falkland Islands (Malvinas),0.0,208,FLK
Faroe Islands,0.0,209,FRO
Fiji,136.66,94,FJI
Finland,1045.9,16,FIN
France,850.29,25,FRA
French Guiana,0.0,224,GUF
French Polynesia,0.0,295,PYF
French Southern Territories,0.0,160,ATF
Gabon,117.48,97,GAB
Gambia,76.26,113,GMB
Georgia,325.64,59,GEO
Germany,1151.92,13,DEU
Ghana,120.65,96,GHA
Gibraltar,0.0,215,GIB
Greece,643.36,33,GRC
Greenland,0.0,222,GRL
Grenada,0.0,221,GRD
Guadeloupe,0.0,217,GLP
Guam,0.0,225,GUM
Guatemala,181.39,80,GTM
Guernsey,0.0,213,GGY
Guinea,34.37,129,GIN
Guinea-Bissau,0.0,219,GNB
Guyana,352.36,54,GUY
Haiti,78.3,112,HTI
Heard Island and McDonald Islands,0.0,228,HMD
Holy See (Vatican City State),0.0,335,VAT
Honduras,163.69,84,HND
Hong Kong,0.0,227,HKG
Hungary,370.07,53,HUN
Iceland,1454.95,7,ISL
India,79.91,111,IND
Indonesia,43.96,127,IDN
Iran,107.68,99,IRN
Iraq,97.85,103,IRQ
Ireland,1456.27,6,IRL
Isle of Man,0.0,233,IMN
Israel,762.17,30,ISR
Italy,1258.8,11,ITA
Ivory Coast,98.84,102,CIV
Jamaica,293.25,63,JAM
Japan,623.81,35,JPN
Jersey,0.0,239,JEY
Jordan,161.75,85,JOR
Kazakhstan,492.89,47,KAZ
Kenya,34.85,128,KEN
Kiribati,0.0,244,KIR
"Korea, Democratic People's Republic of",0.0,292,PRK
Kuwait,609.48,36,KWT
Kyrgyzstan,181.82,79,KGZ
Lao People's Democratic Republic,0.0,246,LAO
Laos,19.83,142,LAO
Latvia,896.8,24,LVA
Lebanon,196.51,78,LBN
Lesotho,81.58,110,LSO
Liberia,0.0,248,LBR
Libya,0.0,249,LBY
Liechtenstein,0.0,251,LIE
Lithuania,811.56,27,LTU
Luxembourg,2079.65,1,LUX
Macao,0.0,254,MAC
Madagascar,13.38,146,MDG
Malawi,16.0,144,MWI
Malaysia,229.72,71,MYS
Maldives,0.0,259,MDV
Mali,0.0,263,MLI
Malta,1043.5,17,MLT
Marshall Islands,0.0,261,MHL
Martinique,0.0,270,MTQ
Mauritania,0.0,268,MRT
Mauritius,402.97,52,MUS
Mayotte,0.0,274,MYT
Mexico,197.2,77,MEX
"Micronesia, Federated States of",0.0,210,FSM
Moldova,563.34,40,MDA
Monaco,0.0,257,MCO
Mongolia,176.49,81,MNG
Montenegro,500.97,46,MNE
Montserrat,0.0,269,MSR
Morocco,111.27,98,MAR
Mozambique,26.23,136,MOZ
Myanmar,11.89,147,MMR
Namibia,129.77,95,NAM
Nauru,0.0,283,NRU
Nepal,53.94,120,NPL
Netherlands,1460.27,5,NLD
New Caledonia,0.0,276,NCL
New Zealand,1094.12,14,NZL
Nicaragua,72.86,114,NIC
Niger,34.14,130,NER
Nigeria,28.2,135,NGA
Niue,0.0,281,NIU
Norfolk Island,0.0,278,NFK
North Macedonia,223.9,72,MKD
Northern Mariana Islands,0.0,266,MNP
Norway,1622.91,2,NOR
Oman,467.23,48,OMN
Pakistan,53.9,121,PAK
Palau,0.0,289,PLW
"Palestine, State of",0.0,294,PSE
Panama,286.49,65,PAN
