Country,Turnout,Enforcement,Year
Argentina,71.51,Low,2021
Argentina,76.74,Low,2017
Argentina,77.17,Low,2013
Argentina,79.39,Low,2011
Argentina,72.39,Low,2009
Argentina,73.33,Low,2005
Argentina,75.21,Low,2001
Argentina,80.54,Low,1999
Argentina,78.22,Low,1997
Argentina,80.96,Low,1995
Argentina,79.70,Low,1993
Argentina,89.71,Low,1991
Argentina,84.24,Low,1989
Argentina,83.61,Low,1987
Argentina,82.19,Low,1985
Argentina,83.25,Low,1983
Argentina,85.55,Low,1973
Argentina,83.46,Low,1965
Argentina,85.59,Low,1963
Argentina,85.73,Low,1962
Argentina,87.07,Low,1960
Argentina,90.86,Low,1958
Argentina,86.00,Low,1954
Argentina,87.95,Low,1951
Argentina,83.39,Low,1946
Argentina,80.37,Low,2019
Argentina,81.06,Low,2015
Argentina,76.21,Low,2007
Argentina,77.01,Low,2023
Australia,89.74,Strict,2022
Australia,91.89,Strict,2019
Australia,91.01,Strict,2016
Australia,93.23,Strict,2013
Australia,93.22,Strict,2010
Australia,94.76,Strict,2007
Australia,94.32,Strict,2004
Australia,94.85,Strict,2001
Australia,94.99,Strict,1998
Australia,95.77,Strict,1996
Australia,95.75,Strict,1993
Australia,95.31,Strict,1990
Australia,93.84,Strict,1987
Australia,94.19,Strict,1984
Australia,94.64,Strict,1983
Australia,94.35,Strict,1980
Australia,95.08,Strict,1977
Australia,95.39,Strict,1975
Australia,95.40,Strict,1974
Australia,95.38,Strict,1972
Australia,94.97,Strict,1969
Australia,95.13,Strict,1966
Australia,95.71,Strict,1963
Australia,95.22,Strict,1961
Australia,95.44,Strict,1958
Australia,95.00,Strict,1955
Australia,96.05,Strict,1954
Australia,95.97,Strict,1951
Australia,95.94,Strict,1949
Australia,93.95,Strict,1946
Belgium,88.38,Moderate,2019
Belgium,89.37,Moderate,2014
Belgium,89.22,Moderate,2010
Belgium,91.08,Moderate,2007
Belgium,91.63,Moderate,2003
Belgium,90.57,Moderate,1999
Belgium,91.15,Moderate,1995
Belgium,92.71,Moderate,1991
Belgium,93.38,Moderate,1987
Belgium,93.59,Moderate,1985
Belgium,94.56,Moderate,1981
Belgium,94.87,Moderate,1978
Belgium,95.07,Moderate,1977
Belgium,90.35,Moderate,1974
Belgium,91.55,Moderate,1971
Belgium,90.02,Moderate,1968
Belgium,91.58,Moderate,1965
Belgium,92.34,Moderate,1961
Belgium,93.62,Moderate,1958
Belgium,93.18,Moderate,1954
Belgium,92.62,Moderate,1950
Belgium,94.41,Moderate,1949
Belgium,90.30,Moderate,1946
Brazil,79.20,Strict,2022
Brazil,79.80,Strict,2018
Brazil,80.60,Strict,2014
Brazil,81.88,Strict,2010
Brazil,83.27,Strict,2006
Brazil,68.72,Strict,2002
Brazil,78.51,Strict,1998
Brazil,82.24,Strict,1994
Brazil,84.61,Strict,1990
Brazil,85.00,Strict,1986
Brazil,82.33,Strict,1982
Brazil,81.75,Strict,1978
Brazil,77.45,Strict,1970
Brazil,77.21,Strict,1966
Brazil,79.59,Strict,1962
Brazil,99.20,Strict,1958
Brazil,65.48,Strict,1954
Brazil,71.89,Strict,1950
Brazil,42.47,Strict,1947
Brazil,81.64,Strict,1945
Ecuador,81.00,Moderate,2021
Ecuador,81.74,Moderate,2017
Ecuador,80.84,Moderate,2013
Ecuador,75.72,Moderate,2009
Ecuador,63.50,Moderate,2006
Ecuador,63.51,Moderate,2002
Ecuador,64.16,Moderate,1998
Ecuador,67.87,Moderate,1996
Ecuador,65.49,Moderate,1994
Ecuador,69.42,Moderate,1990
Ecuador,77.65,Moderate,1988
Ecuador,74.02,Moderate,1986
Ecuador,71.15,Moderate,1984
Ecuador,80.37,Moderate,1979
Ecuador,71.60,Moderate,1956
Ecuador,81.62,Moderate,1954
Ecuador,64.11,Moderate,1950
Ecuador,56.69,Moderate,1947
Ecuador,82.93,Moderate,2023
Greece,61.10,Low,2023
Greece,57.78,Low,2019
Greece,63.94,Low,2015
Greece,62.47,Low,2012
Greece,70.92,Low,2009
Greece,74.14,Low,2007
Greece,76.62,Low,2004
Greece,74.97,Low,2000
Greece,76.34,Low,1996
Greece,82.95,Low,1993
Greece,84.50,Low,1989
Greece,80.19,Low,1985
Greece,81.50,Low,1981
Greece,81.11,Low,1977
Greece,79.58,Low,1974
Greece,81.69,Low,1964
Greece,83.04,Low,1963
Greece,81.87,Low,1961
Greece,75.48,Low,1958
Greece,74.97,Low,1956
Greece,75.37,Low,1952
Greece,77.20,Low,1951
Greece,53.74,Low,2023
Liechtenstein,78.01,Moderate,2021
Liechtenstein,77.82,Moderate,2017
Liechtenstein,79.80,Moderate,2013
Liechtenstein,84.63,Moderate,2009
Liechtenstein,86.47,Moderate,2005
Liechtenstein,86.72,Moderate,2001
Liechtenstein,86.94,Moderate,1997
Liechtenstein,87.54,Moderate,1993
Liechtenstein,90.88,Moderate,1989
Liechtenstein,93.33,Moderate,1986
Liechtenstein,95.39,Moderate,1982
Liechtenstein,95.72,Moderate,1978
Liechtenstein,95.56,Moderate,1974
Liechtenstein,94.94,Moderate,1970
Liechtenstein,95.68,Moderate,1966
Liechtenstein,94.68,Moderate,1962
Liechtenstein,96.47,Moderate,1958
Liechtenstein,93.45,Moderate,1957
Liechtenstein,90.76,Moderate,1953
Liechtenstein,91.99,Moderate,1949
Liechtenstein,93.36,Moderate,1945
Luxembourg,89.66,Moderate,2018
Luxembourg,91.15,Moderate,2013
Luxembourg,90.93,Moderate,2009
Luxembourg,91.68,Moderate,2004
Luxembourg,86.51,Moderate,1999
Luxembourg,88.30,Moderate,1994
Luxembourg,87.39,Moderate,1989
Luxembourg,88.81,Moderate,1984
Luxembourg,88.85,Moderate,1979
Luxembourg,90.14,Moderate,1974
Luxembourg,88.56,Moderate,1968
Luxembourg,90.57,Moderate,1964
Luxembourg,92.33,Moderate,1959
Luxembourg,92.65,Moderate,1954
Luxembourg,90.78,Moderate,1951
Luxembourg,91.90,Moderate,1948
Luxembourg,87.18,Moderate,2023
Paraguay,62.86,Moderate,2023
Paraguay,60.88,Moderate,2018
Paraguay,68.24,Moderate,2013
Paraguay,65.48,Moderate,2008
Paraguay,64.02,Moderate,2003
Paraguay,80.48,Moderate,1998
Paraguay,66.22,Moderate,1993
Paraguay,52.01,Moderate,1989
Paraguay,92.17,Moderate,1988
Paraguay,92.62,Moderate,1983
Paraguay,85.96,Moderate,1978
Paraguay,77.39,Moderate,1973
Paraguay,73.14,Moderate,1968
Paraguay,85.12,Moderate,1963
Peru,70.08,Strict,2021
Peru,74.07,Strict,2020
Peru,81.88,Strict,2016
Peru,83.72,Strict,2011
Peru,88.66,Strict,2006
Peru,81.37,Strict,2001
Peru,81.98,Strict,2000
Peru,63.39,Strict,1995
Peru,68.38,Strict,1990
Peru,80.49,Strict,1985
Peru,80.44,Strict,1980
Peru,94.38,Strict,1963
Peru,88.60,Strict,1962
Peru,84.04,Strict,1956
Singapore,95.81,Strict,2020
Singapore,93.70,Strict,2015
Singapore,93.18,Strict,2011
Singapore,94.01,Strict,2006
