Country,ISO3,Turnout,Type,Year
Argentina,ARG,71.51,Compulsory,2021
Argentina,ARG,76.74,Compulsory,2017
Argentina,ARG,77.17,Compulsory,2013
Argentina,ARG,79.39,Compulsory,2011
Argentina,ARG,72.39,Compulsory,2009
Argentina,ARG,73.33,Compulsory,2005
Argentina,ARG,75.21,Compulsory,2001
Argentina,ARG,80.54,Compulsory,1999
Argentina,ARG,78.22,Compulsory,1997
Argentina,ARG,80.96,Compulsory,1995
Argentina,ARG,79.7,Compulsory,1993
Argentina,ARG,89.71,Compulsory,1991
Argentina,ARG,84.24,Compulsory,1989
Argentina,ARG,83.61,Compulsory,1987
Argentina,ARG,82.19,Compulsory,1985
Argentina,ARG,83.25,Compulsory,1983
Argentina,ARG,85.55,Compulsory,1973
Argentina,ARG,83.46,Compulsory,1965
Argentina,ARG,85.59,Compulsory,1963
Argentina,ARG,85.73,Compulsory,1962
Argentina,ARG,87.07,Compulsory,1960
Argentina,ARG,90.86,Compulsory,1958
Argentina,ARG,86,Compulsory,1954
Argentina,ARG,87.95,Compulsory,1951
Argentina,ARG,83.39,Compulsory,1946
Argentina,ARG,80.37,Compulsory,2019
Argentina,ARG,81.06,Compulsory,2015
Argentina,ARG,76.21,Compulsory,2007
Argentina,ARG,77.01,Compulsory,2023
Australia,AUS,89.74,Compulsory,2022
Australia,AUS,91.89,Compulsory,2019
Australia,AUS,91.01,Compulsory,2016
Australia,AUS,93.23,Compulsory,2013
Australia,AUS,93.22,Compulsory,2010
Australia,AUS,94.76,Compulsory,2007
Australia,AUS,94.32,Compulsory,2004
Australia,AUS,94.85,Compulsory,2001
Australia,AUS,94.99,Compulsory,1998
Australia,AUS,95.77,Compulsory,1996
Australia,AUS,95.75,Compulsory,1993
Australia,AUS,95.31,Compulsory,1990
Australia,AUS,93.84,Compulsory,1987
Australia,AUS,94.19,Compulsory,1984
Australia,AUS,94.64,Compulsory,1983
Australia,AUS,94.35,Compulsory,1980
Australia,AUS,95.08,Compulsory,1977
Australia,AUS,95.39,Compulsory,1975
Australia,AUS,95.4,Compulsory,1974
Australia,AUS,95.38,Compulsory,1972
Australia,AUS,94.97,Compulsory,1969
Australia,AUS,95.13,Compulsory,1966
Australia,AUS,95.71,Compulsory,1963
Australia,AUS,95.22,Compulsory,1961
Australia,AUS,95.44,Compulsory,1958
Australia,AUS,95,Compulsory,1955
Australia,AUS,96.05,Compulsory,1954
Australia,AUS,95.97,Compulsory,1951
Australia,AUS,95.94,Compulsory,1949
Australia,AUS,93.95,Compulsory,1946
Belgium,BEL,88.38,Compulsory,2019
Belgium,BEL,89.37,Compulsory,2014
Belgium,BEL,89.22,Compulsory,2010
Belgium,BEL,91.08,Compulsory,2007
Belgium,BEL,91.63,Compulsory,2003
Belgium,BEL,90.57,Compulsory,1999
Belgium,BEL,91.15,Compulsory,1995
Belgium,BEL,92.71,Compulsory,1991
