date,value
1998 Q1,1029
1998 Q2,967.6
1998 Q3,1482.9
1998 Q4,1336.6
1999 Q1,1076.6
1999 Q2,1175.7
1999 Q3,1111.9
1999 Q4,1219.1
2000 Q1,1168.7
2000 Q2,1147.4
2000 Q3,1217.8
2000 Q4,1291.9
2001 Q1,1220.8
2001 Q2,1237.1
2001 Q3,1207.8
2001 Q4,1252.7
2002 Q1,1250.5
2002 Q2,1302.5
2002 Q3,1236.6
2002 Q4,1374.3
2003 Q1,1309.7
2003 Q2,1427.3
2003 Q3,1410.6
2003 Q4,1544.2
2004 Q1,1430.9
2004 Q2,1570.9
2004 Q3,1408.7
2004 Q4,1607.3
2005 Q1,1312.4
2005 Q2,1497.1
2005 Q3,1480.2
2005 Q4,1568.9
2006 Q1,1313.4
2006 Q2,1392.6
2006 Q3,1328.9
2006 Q4,1640.8
2007 Q1,1246.7
2007 Q2,1462.8
2007 Q3,1645.5
2007 Q4,1872.5
2008 Q1,1522.6
2008 Q2,1538.8
2008 Q3,1556.8
2008 Q4,1506.4
2009 Q1,1462.1
2009 Q2,1518.5
2009 Q3,1502.1
2009 Q4,1712.6
2010 Q1,1588.7
2010 Q2,1655.5
2010 Q3,1643.5
2010 Q4,1987.4
2011 Q1,1994.9
2011 Q2,1895.7
2011 Q3,1675.2
2011 Q4,2029.1
2012 Q1,1837.3
2012 Q2,2020.4
2012 Q3,2194.5
2012 Q4,2274.5
2013 Q1,1866.8
2013 Q2,2161.7
2013 Q3,1997.1
2013 Q4,2297.1
2014 Q1,2117.6
2014 Q2,1975
2014 Q3,1830.1
2014 Q4,2129.8
2015 Q1,2207.7
2015 Q2,2220.8
2015 Q3,2173.3
2015 Q4,2357.3
2016 Q1,1772.2
2016 Q2,2252.1
2016 Q3,2290.3
2016 Q4,2527.1
2017 Q1,2116.3
2017 Q2,2412.9
2017 Q3,2091.5
2017 Q4,2492
2018 Q1,2080.9
2018 Q2,2546.3
2018 Q3,2649.7
2018 Q4,2988.1
2019 Q1,2465.8
2019 Q2,2548.5
2019 Q3,2448.1
2019 Q4,2359.5
2020 Q1,2299.4
2020 Q2,958.8
2020 Q3,958.5
2020 Q4,1267
2021 Q1,947.5
2021 Q2,1169.4
2021 Q3,1763.5
2021 Q4,2415.1
2022 Q1,2336.6
2022 Q2,2847.4
2022 Q3,2738.2
2022 Q4,3192
2023 Q1,2659.5
2023 Q2,3008.9
2023 Q3,3043.2
2023 Q4,3308.1
