year,value,industry
1998,2876,"Creative, arts and entertainment activities"
1999,3098,"Creative, arts and entertainment activities"
2000,3596,"Creative, arts and entertainment activities"
2001,3452,"Creative, arts and entertainment activities"
2002,3955,"Creative, arts and entertainment activities"
2003,3711,"Creative, arts and entertainment activities"
2004,3801,"Creative, arts and entertainment activities"
2005,4334,"Creative, arts and entertainment activities"
2006,4822,"Creative, arts and entertainment activities"
2007,5181,"Creative, arts and entertainment activities"
2008,4875,"Creative, arts and entertainment activities"
2009,4967,"Creative, arts and entertainment activities"
2010,5221,"Creative, arts and entertainment activities"
2011,5728,"Creative, arts and entertainment activities"
2012,5885,"Creative, arts and entertainment activities"
2013,6365,"Creative, arts and entertainment activities"
2014,6135,"Creative, arts and entertainment activities"
2015,6614,"Creative, arts and entertainment activities"
2016,6653,"Creative, arts and entertainment activities"
2017,7312,"Creative, arts and entertainment activities"
2018,7755,"Creative, arts and entertainment activities"
2019,8470,"Creative, arts and entertainment activities"
2020,6251,"Creative, arts and entertainment activities"
2021,8180,"Creative, arts and entertainment activities"
1998,9953,"Arts, entertainment and recreation"
1999,10645,"Arts, entertainment and recreation"
2000,11339,"Arts, entertainment and recreation"
2001,12150,"Arts, entertainment and recreation"
2002,13810,"Arts, entertainment and recreation"
2003,15830,"Arts, entertainment and recreation"
2004,17124,"Arts, entertainment and recreation"
2005,18490,"Arts, entertainment and recreation"
2006,19297,"Arts, entertainment and recreation"
2007,19179,"Arts, entertainment and recreation"
2008,19618,"Arts, entertainment and recreation"
2009,19368,"Arts, entertainment and recreation"
2010,19742,"Arts, entertainment and recreation"
2011,21879,"Arts, entertainment and recreation"
2012,21912,"Arts, entertainment and recreation"
2013,23713,"Arts, entertainment and recreation"
2014,24500,"Arts, entertainment and recreation"
2015,25075,"Arts, entertainment and recreation"
2016,25036,"Arts, entertainment and recreation"
2017,27268,"Arts, entertainment and recreation"
2018,28147,"Arts, entertainment and recreation"
2019,29876,"Arts, entertainment and recreation"
2020,22789,"Arts, entertainment and recreation"
2021,27432,"Arts, entertainment and recreation"
