Date,GRA Purchases,PRGT 1/2/,Totals,Year,Totals in Bn,GDP in Bn,credit/gdp %,,Totals in US$,ER,1.28628
08/31/2022,93769635059,15254184552,1.09E+11,2022,109.0238196,160244.16,0.068036064,,140.2351587,,
12/31/2021,89474552025,14554823681,1.04E+11,2021,104.0293757,146124.42,0.071192328,,133.8109054,,
12/31/2020,93408630285,12481816684,1.06E+11,2020,105.890447,132487.13,0.079925082,,136.2047642,,
12/31/2019,66945509865,6590835450,73536345315,2019,73.53634532,135346.42,0.054331947,,94.58833026,,
12/31/2018,55395611392,6426181029,61821792421,2018,61.82179242,129365.75,0.047788377,,79.52013515,,
12/31/2017,39585385873,6522280669,46107666542,2017,46.10766654,122024.4,0.037785612,,59.30736932,,
12/31/2016,49267630851,6482647937,55750278788,2016,55.75027879,115863.06,0.048117389,,71.7104686,,
12/31/2015,50757840741,6575911158,57333751899,2015,57.3337519,111568.48,0.051388844,,73.74725839,,
12/31/2014,69041563463,6292755583,75334319046,2014,75.33431905,109349.96,0.068892864,,96.90102791,,
12/31/2013,83899249061,6174392682,90073641743,2013,90.07364174,105453.4,0.085415588,,115.8599239,,
12/31/2012,90042348252,5766292503,95808640755,2012,95.80864076,100530.29,0.095303257,,123.2367384,,
12/31/2011,87276915790,5308609594,92585525384,2011,92.58552538,95542.74,0.096904825,,119.0909096,,
12/31/2010,55620104510,4819344134,60439448644,2010,60.43944864,90032.78,0.067130493,,77.742054,,
12/31/2009,37221142436,5079705286,42300847722,2009,42.30084772,84476.6,0.050074041,,54.41073441,,
12/31/2008,17514964723,3972372030,21487336753,2008,21.48733675,84267.28,0.025499027,,27.63873151,,
12/31/2007,6036146757,3796945581,9833092338,2007,9.833092338,80339.74,0.012239388,,12.64811001,,
12/31/2006,9822640239,3844020520,13666660759,2006,13.66666076,74217.9,0.018414238,,17.5791524,,
12/31/2005,28432143237,6282121668,34714264905,2005,34.71426491,68372.36,0.050772366,,44.65226467,,
12/31/2004,55373766674,6766029353,62139796027,2004,62.13979603,63283.58,0.098192605,,79.92917684,,
12/31/2003,65032062712,6880893268,71912955980,2003,71.91295598,58541.87,0.12284021,,92.50019702,,
12/31/2002,63601058794,6868671012,70469729806,2002,70.46972981,55175.36,0.127719565,,90.64380406,,
12/31/2001,53477225409,6424578684,59901804093,2001,59.90180409,52835.18,0.113374846,,77.05049256,,
12/31/2000,42990531049,6331595468,49322126517,2000,49.32212652,50461.92,0.09774128,,63.4420649,,
12/31/1999,51061861875,6434274362,57496136237,1999,57.49613624,47091.18,0.12209534,,73.95613012,,
12/31/1998,60451017051,6288825925,66739842976,1998,66.73984298,44893.37,0.148663027,,85.84612523,,
12/31/1997,46559033783,6009867422,52568901205,1997,52.56890121,43211.13,0.121655928,,67.61832625,,
12/31/1996,36127472805,5881609752,42009082557,1996,42.00908256,40826.48,0.102896656,,54.03544272,,
12/31/1995,35929173412,5657438528,41586611940,1995,41.58661194,38608.6,0.107713338,,53.49202721,,
12/31/1994,25611676952,4599768498,30211445450,1994,30.21144545,36478.41,0.082820072,,38.86037805,,
12/31/1993,25196745031,3942792899,29139537930,1993,29.13953793,34693.19,0.083992097,,37.48160485,,
12/31/1992,23967172718,3804463796,27771636514,1992,27.77163651,33243.35,0.083540427,,35.72210061,,
12/31/1991,23378573926,3285717796,26664291722,1991,26.66429172,29269.24,0.091100048,,34.29774515,,
12/31/1990,20731851093,2571911617,23303762710,1990,23.30376271,27632.85,0.084333548,,29.9751639,,
12/31/1989,22315104224,2334886562,24649990786,1989,24.64999079,25605.08,0.096269923,,31.70679015,,
12/31/1988,24750004884,1773964293,26523969177,1988,26.52396918,23764.99,0.111609427,,34.11725108,,
12/31/1987,28751979125,1866342930,30618322055,1987,30.61832206,21959.55,0.139430553,,39.3837353,,
12/31/1986,33334905644,2013169931,35348075575,1986,35.34807558,20648.95,0.171185826,,45.46752266,,
12/31/1985,35194787249,2470247948,37665035197,1985,37.6650352,19562.44,0.192537512,,48.44778148,,
12/31/1984,34936772393,2769874900,37706647293,1984,37.70664729,18305.64,0.205983769,,48.50130628,,
,,,,,,,,,,,
,,,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,,,
,,,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,,,
