country,iso3,date,value
Syria,syr,01/01/2009,433000
Syria,syr,01/01/2010,433000
Syria,syr,01/01/2011,600000
Syria,syr,01/01/2012,3000000
Syria,syr,01/01/2013,6500000
Syria,syr,01/01/2014,7600000
Syria,syr,01/01/2015,6600000
Syria,syr,01/01/2016,6326000
Syria,syr,01/01/2017,6784000
Syria,syr,01/01/2018,6119000
Syria,syr,01/01/2019,6495000
Syria,syr,01/01/2020,6568000
Syria,syr,01/01/2021,6662000
Syria,syr,01/01/2022,6865000
Colombia,col,01/01/2009,4916000
Colombia,col,01/01/2010,5196000
Colombia,col,01/01/2011,5281000
Colombia,col,01/01/2012,5455000
Colombia,col,01/01/2013,5700000
Colombia,col,01/01/2014,6044000
Colombia,col,01/01/2015,6270000
Colombia,col,01/01/2016,7246000
Colombia,col,01/01/2017,6509000
Colombia,col,01/01/2018,5761000
Colombia,col,01/01/2019,5576000
Colombia,col,01/01/2020,4922000
Colombia,col,01/01/2021,5235000
Colombia,col,01/01/2022,4766000
DR Congo,cod,01/01/2009,1900000
DR Congo,cod,01/01/2010,1700000
DR Congo,cod,01/01/2011,1710000
DR Congo,cod,01/01/2012,2700000
DR Congo,cod,01/01/2013,2964000
DR Congo,cod,01/01/2014,2757000
DR Congo,cod,01/01/2015,1500000
DR Congo,cod,01/01/2016,2230000
DR Congo,cod,01/01/2017,4480000
DR Congo,cod,01/01/2018,3081000
DR Congo,cod,01/01/2019,5512000
DR Congo,cod,01/01/2020,5268000
DR Congo,cod,01/01/2021,5339000
DR Congo,cod,01/01/2022,5686000
Somalia,som,01/01/2009,1500000
Somalia,som,01/01/2010,1500000
Somalia,som,01/01/2011,1459000
Somalia,som,01/01/2012,1350000
Somalia,som,01/01/2013,1100000
Somalia,som,01/01/2014,1107000
Somalia,som,01/01/2015,1223000
Somalia,som,01/01/2016,1107000
Somalia,som,01/01/2017,825000
Somalia,som,01/01/2018,2648000
Somalia,som,01/01/2019,2648000
Somalia,som,01/01/2020,2968000
Somalia,som,01/01/2021,2968000
Somalia,som,01/01/2022,3864000
Afghanistan,afg,01/01/2009,297000
Afghanistan,afg,01/01/2010,352000
Afghanistan,afg,01/01/2011,450000
Afghanistan,afg,01/01/2012,492000
Afghanistan,afg,01/01/2013,631000
Afghanistan,afg,01/01/2014,805000
Afghanistan,afg,01/01/2015,1174000
Afghanistan,afg,01/01/2016,1553000
Afghanistan,afg,01/01/2017,1286000
Afghanistan,afg,01/01/2018,2598000
Afghanistan,afg,01/01/2019,2993000
Afghanistan,afg,01/01/2020,3547000
Afghanistan,afg,01/01/2021,4314000
Afghanistan,afg,01/01/2022,4394000
Yemen,yem,01/01/2009,175000
Yemen,yem,01/01/2010,226000
Yemen,yem,01/01/2011,464000
Yemen,yem,01/01/2012,385000
Yemen,yem,01/01/2013,307000
Yemen,yem,01/01/2014,334000
Yemen,yem,01/01/2015,2509000
Yemen,yem,01/01/2016,1974000
Yemen,yem,01/01/2017,2014000
Yemen,yem,01/01/2018,2324000
Yemen,yem,01/01/2019,3635000
Yemen,yem,01/01/2020,3635000
Yemen,yem,01/01/2021,4289000
Yemen,yem,01/01/2022,4523000
Ukraine,ukr,01/01/2014,647000
Ukraine,ukr,01/01/2015,1679000
Ukraine,ukr,01/01/2016,1653000
Ukraine,ukr,01/01/2017,800000
Ukraine,ukr,01/01/2018,800000
Ukraine,ukr,01/01/2019,730000
Ukraine,ukr,01/01/2020,734000
Ukraine,ukr,01/01/2021,854000
Ukraine,ukr,01/01/2022,5914000
