Country,Year,Value
Canada,2006,44.28175519
Canada,2007,63.78238098
Canada,2008,59.03709613
Canada,2009,60.82640148
Canada,2010,55.1076449
Canada,2011,55.32905175
Canada,2012,52.34481477
Canada,2013,50.59759947
Canada,2014,51.69536076
Canada,2015,64.41041443
Canada,2016,61.81952864
Canada,2017,65.27359715
Canada,2018,61.04669154
Canada,2019,54.92809663
Canada,2020,60.04241101
Canada,2021,61.04111673
France,2006,32.48835252
France,2007,36.13529111
France,2008,45.26593941
France,2009,47.44488849
France,2010,40.14662273
France,2011,37.50892513
France,2012,44.06253334
France,2013,39.51305269
France,2014,26.38017223
France,2015,32.82526979
France,2016,28.39781576
France,2017,37.47935274
France,2018,38.0547431
France,2019,38.18492358
France,2020,41.0406651
France,2021,43.35204999
Germany,2006,32.17588027
Germany,2007,34.976546
Germany,2008,43.17076212
Germany,2009,53.34152684
Germany,2010,39.54240094
Germany,2011,42.45831309
Germany,2012,51.69281968
Germany,2013,55.77606812
Germany,2014,60.13688612
Germany,2015,62.80036467
Germany,2016,55.2613566
Germany,2017,62.29356524
Germany,2018,59.29905866
Germany,2019,56.84604275
Germany,2020,65.40631043
Germany,2021,60.47599324
Ireland,2006,63.29269083
Ireland,2008,51.37279097
Ireland,2009,29.25692854
Ireland,2010,33.25793682
Ireland,2011,52.91041444
Ireland,2012,34.58727125
Ireland,2013,28.50155412
Ireland,2014,45.98823715
Ireland,2015,57.18410825
Ireland,2016,57.47397749
Ireland,2017,60.37996469
Ireland,2018,61.84052888
Ireland,2019,58.12159762
Ireland,2020,58.81482669
Ireland,2021,62.33894119
Italy,2006,23.87379947
Italy,2007,30.34241486
Italy,2008,36.31165752
Italy,2009,39.9521696
Italy,2010,33.39163935
Italy,2011,25.95596832
Italy,2012,28.06946065
Italy,2013,14.59721432
Italy,2014,30.90357401
Italy,2015,26.06258788
Italy,2016,23.75990877
Italy,2017,23.0196292
Italy,2018,20.66261975
Italy,2019,22.19258583
Italy,2020,37.45157724
Italy,2021,35.42939028
Mexico,2006,42.63591977
Mexico,2007,41.81466001
Mexico,2008,41.35532045
Mexico,2009,44.61378474
Mexico,2010,37.19862812
Mexico,2011,38.34464088
Mexico,2012,36.14087848
Mexico,2013,39.55713579
Mexico,2014,32.75820426
Mexico,2015,25.6193175
Mexico,2016,27.79440712
Mexico,2017,25.69531632
Mexico,2018,29.45684937
Mexico,2019,49.52311595
Mexico,2020,45.9497859
Mexico,2021,48.3326115
Spain,2006,52.78457408
Spain,2007,47.6248929
Spain,2008,57.97604346
Spain,2009,42.43620479
Spain,2010,30.27315905
Spain,2011,30.86627226
Spain,2012,33.91465402
Spain,2013,18.45496612
Spain,2014,21.06198134
Spain,2015,27.77513276
Spain,2016,30.25166703
Spain,2017,26.958596
Spain,2018,28.51956254
Spain,2019,36.77858646
Spain,2020,38.17671009
Spain,2021,37.17038148
Turkey,2006,59.577364
Turkey,2007,55.78778398
Turkey,2008,59.76229946
Turkey,2010,54.5994287
Turkey,2011,59.62018162
Turkey,2012,53.09996789
Turkey,2013,53.83117835
Turkey,2014,55.64782959
Turkey,2015,48.60846405
Turkey,2016,58.37282299
Turkey,2017,58.61612386
Turkey,2018,51.36770545
Turkey,2019,56.12609072
Turkey,2020,55.32621591
Turkey,2021,42.60143695
United Kingdom,2006,49.47495658
United Kingdom,2007,36.36376452
United Kingdom,2008,32.41657342
United Kingdom,2009,38.40665597
United Kingdom,2010,50.35112367
United Kingdom,2011,46.78900203
United Kingdom,2012,42.12621718
United Kingdom,2013,37.92316332
United Kingdom,2014,42.2672083
United Kingdom,2015,45.68117001
United Kingdom,2016,40.86320654
United Kingdom,2017,44.01208403
United Kingdom,2018,42.08598609
United Kingdom,2019,34.08288625
United Kingdom,2020,34.69728444
United Kingdom,2021,39.47539879
United States,2006,55.80288463
United States,2007,39.32454572
United States,2008,37.92206006
United States,2009,50.30473143
United States,2010,41.82758222
United States,2011,38.25315979
United States,2012,34.88556076
United States,2013,28.86474991
United States,2014,34.86712004
United States,2015,34.69364628
United States,2016,29.72056612
United States,2017,38.65350168
United States,2018,31.38160892
United States,2019,36.27744401
United States,2020,46.49170905
United States,2021,40.46252204
