year,value
1901-03-01,37.8
1902-03-01,41
1903-03-01,43
1904-03-01,42.9
1905-03-01,41.8
1906-03-01,39.8
1907-03-01,37.9
1908-03-01,38.2
1909-03-01,37.6
1910-03-01,36.7
1911-03-01,33.9
1912-03-01,31.8
1913-03-01,30.2
1914-03-01,29.4
1915-03-01,42
1916-03-01,67.8
1917-03-01,103.1
1918-03-01,125.4
1919-03-01,144.1
1920-03-01,139.2
1921-03-01,152.3
1922-03-01,174.6
1923-03-01,187.5
1924-03-01,183.6
1925-03-01,177.1
1926-03-01,179.8
1927-03-01,174.3
1928-03-01,171.5
1929-03-01,168.7
1930-03-01,169.4
1931-03-01,178.4
1932-03-01,186.1
1933-03-01,189.8
1934-03-01,185.9
1935-03-01,174.9
1936-03-01,165.9
1937-03-01,155.7
1938-03-01,154.2
1939-03-01,147.5
1940-03-01,136.7
1941-03-01,144
1942-03-01,158.5
1943-03-01,176.7
1944-03-01,200.8
1945-03-01,233.4
1946-03-01,246.8
1947-03-01,251.8
1948-03-01,230.2
1949-03-01,210.8
1950-03-01,205
1951-03-01,185.7
1952-03-01,169.5
1953-03-01,158.5
1954-03-01,152.7
1955-03-01,143.3
1956-03-01,132.5
1957-03-01,123.9
1958-03-01,118.4
1959-03-01,114.3
1960-03-01,107.6
1961-03-01,102.5
1962-03-01,99.5
1963-03-01,98.3
1964-03-01,90.7
1965-03-01,84.2
1966-03-01,80.9
1967-03-01,77.8
1968-03-01,77.1
1969-03-01,69.8
1970-03-01,61.2
1971-03-01,54.7
1972-03-01,52.7
1973-03-01,46.6
1974-03-01,45.2
1975-03-01,47.8
1976-03-01,49.4
1977-03-01,47.8
1978-03-01,44.4
1979-03-01,42.2
1980-03-01,39.1
1981-03-01,40.4
1982-03-01,40.1
1983-03-01,38.7
1984-03-01,38.9
1985-03-01,38.7
1986-03-01,37.1
1987-03-01,34.8
1988-03-01,31
1989-03-01,25.6
1990-03-01,23.1
1991-03-01,21.7
1992-03-01,22.9
1993-03-01,26.7
1994-03-01,31.2
1995-03-01,34.6
1996-03-01,36.1
1997-03-01,36.7
1998-03-01,36.6
1999-03-01,35.1
2000-03-01,32.5
2001-03-01,28.3
2002-03-01,28.1
2003-03-01,29.8
2004-03-01,30.9
2005-03-01,33.5
2006-03-01,34.3
2007-03-01,35.1
2008-03-01,35.6
2009-03-01,50.6
2010-03-01,64.7
2011-03-01,70.9
2012-03-01,74.3
2013-03-01,77.5
2014-03-01,79.2
2015-03-01,81.6
2016-03-01,81.3
2017-03-01,83.5
2018-03-01,82.3
2019-03-01,80.3
2020-03-01,85.2
2021-03-01,96.5
2022-03-01,96.6
2023-03-01,95.7
2024-03-01,98.1
2024-06-01,99.5
