Date,Value,Status
03/31/2005,169.838,Received
06/30/2005,170.495,Received
09/30/2005,160.679,Received
12/31/2005,147.13,Received
03/31/2006,165.373,Received
06/30/2006,170.192,Received
09/30/2006,156.987,Received
12/31/2006,149.086,Received
03/31/2007,168.466,Received
06/30/2007,173.666,Received
09/30/2007,166.397,Received
12/31/2007,150.555,Received
03/31/2008,157.697,Received
06/30/2008,149.509,Received
09/30/2008,135.099,Received
12/31/2008,110.989,Received
03/31/2009,111.351,Received
06/30/2009,117.989,Received
09/30/2009,118.809,Received
12/31/2009,111.206,Received
03/31/2010,118.376,Received
06/30/2010,127.043,Received
09/30/2010,126.447,Received
12/31/2010,110.594,Received
03/31/2011,119.913,Received
06/30/2011,122.921,Received
09/30/2011,121.807,Received
12/31/2011,111.891,Received
03/31/2012,120.814,Received
06/30/2012,120.967,Received
09/30/2012,113.346,Received
12/31/2012,106.558,Received
03/31/2013,113.954,Received
06/30/2013,124.904,Received
09/30/2013,118.58,Received
12/31/2013,109.014,Received
03/31/2014,119.389,Received
06/30/2014,123.126,Received
09/30/2014,118.804,Received
12/31/2014,110.928,Received
03/31/2015,121.048,Received
06/30/2015,123.64,Received
09/30/2015,119.289,Received
12/31/2015,111.141,Received
03/31/2016,120.231,Received
06/30/2016,130.714,Received
09/30/2016,120.696,Received
12/31/2016,112.016,Received
03/31/2017,123.255,Received
06/30/2017,123.289,Received
09/30/2017,117.815,Received
12/31/2017,112.288,Received
03/31/2018,116.666,Received
06/30/2018,117.913,Received
09/30/2018,110.24,Received
12/31/2018,107.497,Received
03/31/2019,111.478,Received
06/30/2019,113.895,Received
09/30/2019,106.434,Received
12/31/2019,100.325,Received
03/31/2020,103.797,Received
06/30/2020,88.278,Received
09/30/2020,106.822,Received
12/31/2020,111.761,Received
03/31/2021,124.585,Received
06/30/2021,128.371,Received
09/30/2021,114.5,Received
12/31/2021,106.498,Received
03/31/2022,109.905,Received
06/30/2022,106.937,Received
09/30/2022,99.502,Received
12/31/2022,93.216,Received
03/31/2023,96.199,Received
06/30/2023,92.638,Received
09/30/2023,87.721,Received
12/31/2023,85.243,Received
03/31/2005,140.324,Decided
06/30/2005,163.94,Decided
09/30/2005,157.872,Decided
12/31/2005,142.852,Decided
03/31/2006,133.989,Decided
06/30/2006,155.307,Decided
09/30/2006,155.16,Decided
12/31/2006,140.898,Decided
03/31/2007,136.141,Decided
06/30/2007,156.12,Decided
09/30/2007,159.617,Decided
12/31/2007,148.308,Decided
03/31/2008,131.612,Decided
06/30/2008,144.071,Decided
09/30/2008,136.267,Decided
12/31/2008,115.592,Decided
03/31/2009,93.061,Decided
06/30/2009,104.652,Decided
09/30/2009,111.981,Decided
12/31/2009,105.246,Decided
03/31/2010,95.686,Decided
06/30/2010,112.507,Decided
09/30/2010,120.306,Decided
12/31/2010,110.207,Decided
03/31/2011,96.829,Decided
06/30/2011,109.573,Decided
09/30/2011,116.633,Decided
12/31/2011,108.545,Decided
03/31/2012,100.445,Decided
06/30/2012,110.554,Decided
09/30/2012,110.653,Decided
12/31/2012,103.796,Decided
03/31/2013,94.212,Decided
06/30/2013,110.641,Decided
09/30/2013,114.586,Decided
12/31/2013,105.29,Decided
03/31/2014,95.822,Decided
06/30/2014,104.167,Decided
09/30/2014,108.545,Decided
12/31/2014,101.65,Decided
03/31/2015,95.483,Decided
06/30/2015,108.141,Decided
09/30/2015,112.21,Decided
12/31/2015,106.04,Decided
03/31/2016,98.799,Decided
06/30/2016,114.309,Decided
09/30/2016,116.003,Decided
12/31/2016,107.122,Decided
03/31/2017,102.506,Decided
06/30/2017,112,Decided
09/30/2017,112.604,Decided
12/31/2017,106.378,Decided
