year,type,value
2016,Extreme Right Wing,968
2016,Islamist,"3,706"
2016,Conflicted ,0
2016,School massacre,0
2016,Incel,0
2017,Extreme Right Wing,"1,387"
2017,Islamist,"3,462"
2017,Conflicted ,0
2017,School massacre,0
2017,Incel,0
2018,Extreme Right Wing,"1,402"
2018,Islamist,"1,421"
2018,Conflicted ,0
2018,School massacre,79
2018,Incel,0
2019,Extreme Right Wing,"1,404"
2019,Islamist,"1,510"
2019,Conflicted ,233
2019,School massacre,236
2019,Incel,0
2020,Extreme Right Wing,"1,229"
2020,Islamist,"1,077"
2020,Conflicted ,323
2020,School massacre,109
2020,Incel,3
2021,Extreme Right Wing,"1,309"
2021,Islamist,"1,027"
2021,Conflicted ,"1,020"
2021,School massacre,154
2021,Incel,77
2022,Extreme Right Wing,"1,310"
2022,Islamist,781
2022,Conflicted ,"1,214"
2022,School massacre,159
2022,Incel,69
