region,ideology,value
East,Extreme Right Wing,78
East Midlands,Extreme Right Wing,114
London,Extreme Right Wing,140
North East,Extreme Right Wing,221
North West,Extreme Right Wing,236
South East,Extreme Right Wing,262
South West,Extreme Right Wing,79
Wales,Extreme Right Wing,61
West Midlands,Extreme Right Wing,119
East,Islamist,39
East Midlands,Islamist,43
London,Islamist,261
North East,Islamist,77
North West,Islamist,176
South East,Islamist,80
South West,Islamist,14
Wales,Islamist,12
West Midlands,Islamist,79
