code,region,year,value,rebased_value
USA,United States,1990,75.73808728,100.0
USA,United States,1991,73.94595205,97.63377278940969
USA,United States,1992,73.80924402,97.45327175629724
USA,United States,1993,73.73889537,97.36038764405404
USA,United States,1994,74.62627691,98.53203268008382
USA,United States,1995,74.95731362,98.969113575428
USA,United States,1996,75.52152287,99.71406142170005
USA,United States,1997,76.31944934,100.76759538150301
USA,United States,1998,79.35922355,104.78112981202288
USA,United States,1999,82.97706305,109.55790676788266
USA,United States,2000,86.32600263,113.97964449624534
USA,United States,2001,90.46253927,119.4412778547792
USA,United States,2002,95.55080369,126.15951514163983
USA,United States,2003,100.7443824,133.01680306178443
USA,United States,2004,107.5683637,142.02677617448276
USA,United States,2005,115.5017399,152.50152736627177
USA,United States,2006,118.8990615,156.9871457942105
USA,United States,2007,115.8404917,152.94879480088187
USA,United States,2008,103.284902,136.3711518329751
USA,United States,2009,97.362854,128.55203702207885
USA,United States,2010,92.81185608,122.54317400026108
USA,United States,2011,86.62738012,114.37756514729875
USA,United States,2012,87.34253432,115.32181159671873
USA,United States,2013,92.15677622,121.67824608416755
USA,United States,2014,95.28769356,125.81212040347158
USA,United States,2015,100.0,132.0339654608716
USA,United States,2016,104.5174384,137.9985185176438
USA,United States,2017,109.0317467,143.95893877926304
USA,United States,2018,113.3807648,149.70111983530407
USA,United States,2019,117.3966886,155.003503278331
USA,United States,2020,125.2549512,165.37907900543956
USA,United States,2021,140.2138692,185.12993163087972
USA,United States,2022,149.8828705,197.89629746773292
USA,United States,2023,151.6550263,200.23614504461779
FRA,France,1990,59.56743517,100.0
FRA,France,1991,60.01485047,100.75110720937221
FRA,France,1992,57.35045496,96.27820099409527
FRA,France,1993,56.01350377,94.03376796422843
FRA,France,1994,55.31083594,92.85415056422681
FRA,France,1995,52.60355681,88.3092526308616
FRA,France,1996,51.3105696,86.13862499462053
FRA,France,1997,50.70503156,85.12206613444492
FRA,France,1998,51.61480201,86.64936111937014
FRA,France,1999,55.40691137,93.01543907652521
FRA,France,2000,59.06499588,99.1565201883108
FRA,France,2001,62.59618407,105.08457161426578
FRA,France,2002,67.46925489,113.26533482170069
FRA,France,2003,74.30431666,124.73982881408656
FRA,France,2004,83.66697207,140.45757019959333
FRA,France,2005,94.88809355,159.29524794747007
FRA,France,2006,104.1123368,174.78062720490303
FRA,France,2007,108.8577126,182.7470198932186
FRA,France,2008,106.8874315,179.43937185637265
FRA,France,2009,100.859468,169.3198099131788
FRA,France,2010,104.8259231,175.978574200545
FRA,France,2011,109.076821,183.1148524167689
FRA,France,2012,107.0666561,179.74024866849072
FRA,France,2013,104.198129,174.92465254316906
FRA,France,2014,102.1805813,171.5376547746029
FRA,France,2015,100.0,167.87696115269887
FRA,France,2016,100.7050093,169.06050934138278
FRA,France,2017,102.9531342,172.83459310641996
FRA,France,2018,104.1089407,174.77492593542533
FRA,France,2019,106.6692787,179.0731435650631
FRA,France,2020,111.5954573,187.34306249969768
FRA,France,2021,117.4724046,197.20910303548328
FRA,France,2022,119.162362,200.04615216337842
FRA,France,2023,110.6182518,185.70255960208064
EA,Euro area,1990,79.81559904,100.0
EA,Euro area,1991,82.54981589,103.42566726665767
EA,Euro area,1992,82.58880759,103.47451949663397
EA,Euro area,1993,81.25557894,101.80413342419239
EA,Euro area,1994,80.61464756,101.0011182395556
EA,Euro area,1995,79.51881867,99.62816745903108
EA,Euro area,1996,79.65555216,99.79947919714317
EA,Euro area,1997,79.66592089,99.81247005372347
EA,Euro area,1998,80.64027296,101.03322399370418
EA,Euro area,1999,83.23585398,104.2851961034408
EA,Euro area,2000,85.75586476,107.44248717224187
EA,Euro area,2001,87.89733723,110.12551216454544
EA,Euro area,2002,91.85245307,115.08082902938268
EA,Euro area,2003,95.17030768,119.23772899618896
EA,Euro area,2004,99.42069852,124.56299234210447
EA,Euro area,2005,104.4133521,130.81822770968955
EA,Euro area,2006,109.5432929,137.24546857701566
EA,Euro area,2007,112.1497235,140.5110339944897
EA,Euro area,2008,110.609788,138.58166740635164
EA,Euro area,2009,107.8543006,135.1293505245112
EA,Euro area,2010,107.2039864,134.31457971802502
EA,Euro area,2011,105.9899215,132.79349246866218
EA,Euro area,2012,102.007347,127.80377298036503
EA,Euro area,2013,98.91041772,123.92366769111203
EA,Euro area,2014,98.72653194,123.69327941837874
EA,Euro area,2015,100.0,125.28879216941601
EA,Euro area,2016,103.5281856,129.7092132931513
EA,Euro area,2017,106.6626362,133.63632859103828
