region,code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aberdeen City,S12000033,79.14,79.04499999999999,79.22,78.35,78.745,78.80000000000001,79.395,78.875,79.425,78.97,78.485,79.14,79.055
Aberdeenshire,S12000034,80.495,80.69,80.725,80.985,80.57499999999999,81.22999999999999,81.035,81.21000000000001,80.78,80.43,80.615,81.34,80.985
Adur,E07000223,81.985,81.625,81.795,82.14,81.08,83.0,82.485,82.16,82.955,82.55,82.2,82.34,82.725
Amber Valley,E07000032,81.00999999999999,81.61,81.22,81.07,80.235,81.35,81.41499999999999,81.185,81.9,80.515,80.72999999999999,80.68,80.69
Aneurin Bevan University Health Board,W11000028,80.06,79.635,79.9,80.65,79.705,79.93,79.935,79.9,80.33500000000001,79.05,79.475,79.185,79.58
Angus,S12000041,79.9,79.92500000000001,79.965,80.625,80.19,79.64,79.84,80.625,80.33000000000001,80.00999999999999,79.325,79.72999999999999,80.12
Argyll and Bute,S12000035,79.63499999999999,79.275,80.66,80.515,79.925,79.745,80.24,80.225,80.23,79.67,80.555,79.99,79.61500000000001
Arun,E07000224,81.655,81.585,81.91499999999999,81.825,81.9,81.19,82.03999999999999,81.8,81.91499999999999,81.495,81.32,81.59,81.965
Ashfield,E07000170,80.045,79.95,80.275,79.725,79.715,79.80000000000001,80.155,79.68,80.13499999999999,79.655,79.185,79.285,79.09
Ashford,E07000105,82.995,82.785,82.28,81.645,82.35,82.315,82.68,82.125,82.02,80.68,81.445,82.39500000000001,81.61500000000001
Babergh,E07000200,83.155,83.66,82.985,83.08500000000001,82.91,82.4,83.07,83.84,83.21000000000001,82.795,82.94999999999999,83.37,83.065
Barking and Dagenham,E09000002,79.94,79.495,80.14,79.555,79.045,80.315,80.225,79.86500000000001,79.875,77.82499999999999,77.94,79.37,80.28
Barnet,E09000003,83.055,83.34,83.35499999999999,83.64500000000001,83.095,83.61,84.055,83.85,84.33500000000001,82.10499999999999,82.91999999999999,83.735,84.16499999999999
Barnsley,E08000016,79.515,80.08,79.65,80.17,79.275,80.465,80.00999999999999,79.13,79.705,78.01499999999999,77.71000000000001,78.29,79.6
Basildon,E07000066,81.64,81.16499999999999,81.425,81.28,81.225,81.065,81.1,80.745,81.64,80.32,80.36,82.00999999999999,81.275
Basingstoke and Deane,E07000084,82.065,82.50999999999999,82.18,82.0,81.83500000000001,82.17,81.89500000000001,82.025,83.025,81.57,82.33,82.71,83.125
Bassetlaw,E07000171,80.45,80.64500000000001,80.505,80.19,79.91,80.57499999999999,80.155,80.84,80.675,79.67,80.66499999999999,80.33,81.24
Bath and North East Somerset,E06000022,82.285,83.01,82.375,83.36000000000001,82.33500000000001,82.25999999999999,83.125,83.28,83.08,82.59,83.06,82.96000000000001,82.84
Bedford,E06000055,81.02,81.685,81.7,82.215,81.24000000000001,81.755,81.61000000000001,81.46000000000001,81.4,80.81,79.805,81.32499999999999,81.71000000000001
Betsi Cadwaladr University Health Board,W11000023,80.91999999999999,80.475,80.495,80.685,80.545,80.495,80.485,80.33,80.575,80.035,80.07499999999999,80.39,80.38
Bexley,E09000004,82.07,82.16499999999999,82.055,82.41499999999999,81.565,82.16499999999999,82.065,81.55,82.195,81.33500000000001,81.08500000000001,81.92500000000001,81.675
Birmingham,E08000025,79.765,79.88499999999999,79.57,79.375,79.695,79.785,80.03,80.06,80.5,78.345,78.33000000000001,79.5,79.065
Blaby,E07000129,83.02,82.7,81.96000000000001,82.795,83.0,82.32,83.22,83.36500000000001,83.85,82.39500000000001,82.28999999999999,82.5,82.95
Blackburn with Darwen,E06000008,78.83000000000001,79.09,79.055,78.86,78.425,78.39,78.875,79.33500000000001,79.08,77.53999999999999,77.08,78.225,78.33500000000001
Blackpool,E06000009,77.02,77.345,77.31,77.36,76.265,77.4,77.39,76.755,77.495,76.25,75.775,76.575,75.755
Blaenau Gwent,W06000019,77.66499999999999,77.67,78.025,78.995,78.27000000000001,78.155,78.13,78.3,78.06,76.955,77.43,77.61,77.52000000000001
Bolsover,E07000033,80.28,79.76,80.405,78.825,78.995,80.505,79.58500000000001,80.225,79.675,79.005,77.78,79.22,79.23
Bolton,E08000001,79.475,79.29499999999999,79.93,80.14500000000001,79.525,79.78999999999999,79.9,79.745,79.89,78.42,78.74000000000001,78.905,79.475
Boston,E07000136,80.685,80.5,80.65,80.68,81.005,80.12,79.86,79.955,80.86,78.925,79.575,78.315,79.995
"Bournemouth, Christchurch and Poole",E06000058,81.85499999999999,81.845,81.735,82.185,81.58,81.74000000000001,81.765,82.105,82.405,81.655,81.36500000000001,81.445,81.6
Bracknell Forest,E06000036,82.39,82.275,83.06,83.745,82.755,83.47999999999999,82.785,83.575,83.99,82.755,82.795,82.65,83.535
Bradford,E08000032,79.395,79.80000000000001,79.16999999999999,79.47,79.685,79.49,79.925,79.83,80.31,78.435,78.88499999999999,79.21000000000001,79.285
Braintree,E07000067,82.005,81.09,81.94,82.125,81.285,81.92,81.21000000000001,81.645,81.82,81.825,80.98500000000001,81.695,80.975
Breckland,E07000143,81.56,81.755,81.43,82.045,81.1,81.705,82.35,81.475,82.045,81.76499999999999,81.98,81.46000000000001,81.575
Brent,E09000005,82.33,81.795,82.11000000000001,82.70500000000001,82.08500000000001,82.58,82.495,82.725,83.66499999999999,80.485,81.02,82.805,82.72
Brentwood,E07000068,82.805,82.3,83.07,82.535,82.34,83.26499999999999,82.69,83.01,83.335,81.73,82.08500000000001,83.47,83.525
Bridgend,W06000013,78.375,79.18,79.62,79.61,79.365,79.975,79.3,78.94,79.66499999999999,78.61,79.31,80.62,79.825
Brighton and Hove,E06000043,80.935,80.55000000000001,81.03,81.815,81.285,81.05,80.75,80.78,81.64,81.035,80.62,81.13,81.22999999999999
"Bristol, City of",E06000023,80.5,80.91999999999999,79.97999999999999,80.905,81.005,80.65,80.78999999999999,80.485,81.025,80.77,80.145,80.3,80.805
Broadland,E07000144,83.02000000000001,82.64500000000001,82.42500000000001,82.64,82.60499999999999,82.345,83.295,83.2,83.63499999999999,82.77000000000001,82.415,82.10499999999999,82.845
Bromley,E09000006,82.72,82.725,83.285,82.905,83.4,83.02,83.515,83.005,83.525,82.735,82.93,83.82,83.475
Bromsgrove,E07000234,82.84,81.27000000000001,81.18,81.675,81.68,81.96000000000001,81.82,82.47,82.695,82.03999999999999,81.725,81.565,82.625
Broxbourne,E07000095,82.495,81.805,82.25,83.64500000000001,82.43,83.49000000000001,83.55,81.72,82.79,81.195,81.665,83.06,82.705
Broxtowe,E07000172,81.82,82.165,82.08,81.75999999999999,81.53,82.045,82.12,80.88,81.845,81.28,81.12,81.765,81.85
Buckinghamshire,E06000060,82.805,82.735,83.11500000000001,83.375,83.025,83.60499999999999,83.15,83.25999999999999,83.79499999999999,82.56,82.58,83.17,83.42
