Time,Activity,Value,Time_2
04:00:00,Sleep and rest,97.1,4
04:00:00,Personal care,0.9,4
04:00:00,Paid work,0.7,4
04:00:00,Travel,0.1,4
04:00:00,Unpaid household work,0.2,4
04:00:00,Unpaid care,0.1,4
04:00:00,Watching television,0.2,4
04:00:00,Entertainment and leisure,0.3,4
04:00:00,Education and study,0,4
04:00:00,Other,0.4,4
04:10:00,Sleep and rest,97.1,4.166666667
04:10:00,Personal care,0.8,4.166666667
04:10:00,Paid work,0.7,4.166666667
04:10:00,Travel,0.1,4.166666667
04:10:00,Unpaid household work,0.2,4.166666667
04:10:00,Unpaid care,0.1,4.166666667
04:10:00,Watching television,0.2,4.166666667
04:10:00,Entertainment and leisure,0.3,4.166666667
04:10:00,Education and study,0,4.166666667
04:10:00,Other,0.4,4.166666667
04:20:00,Sleep and rest,97.1,4.333333333
04:20:00,Personal care,0.9,4.333333333
04:20:00,Paid work,0.7,4.333333333
04:20:00,Travel,0.1,4.333333333
04:20:00,Unpaid household work,0.2,4.333333333
04:20:00,Unpaid care,0.1,4.333333333
04:20:00,Watching television,0.2,4.333333333
04:20:00,Entertainment and leisure,0.4,4.333333333
04:20:00,Education and study,0,4.333333333
04:20:00,Other,0.4,4.333333333
04:30:00,Sleep and rest,96.6,4.5
04:30:00,Personal care,0.9,4.5
04:30:00,Paid work,0.7,4.5
04:30:00,Travel,0.1,4.5
04:30:00,Unpaid household work,0.4,4.5
04:30:00,Unpaid care,0.1,4.5
04:30:00,Watching television,0.2,4.5
04:30:00,Entertainment and leisure,0.4,4.5
04:30:00,Education and study,0,4.5
04:30:00,Other,0.5,4.5
04:40:00,Sleep and rest,96.3,4.666666667
04:40:00,Personal care,1.1,4.666666667
04:40:00,Paid work,0.7,4.666666667
04:40:00,Travel,0.2,4.666666667
04:40:00,Unpaid household work,0.3,4.666666667
04:40:00,Unpaid care,0.1,4.666666667
04:40:00,Watching television,0.2,4.666666667
04:40:00,Entertainment and leisure,0.4,4.666666667
04:40:00,Education and study,0,4.666666667
04:40:00,Other,0.5,4.666666667
04:50:00,Sleep and rest,96,4.833333333
04:50:00,Personal care,1.3,4.833333333
04:50:00,Paid work,0.7,4.833333333
04:50:00,Travel,0.2,4.833333333
04:50:00,Unpaid household work,0.3,4.833333333
04:50:00,Unpaid care,0.1,4.833333333
04:50:00,Watching television,0.3,4.833333333
04:50:00,Entertainment and leisure,0.4,4.833333333
04:50:00,Education and study,0,4.833333333
04:50:00,Other,0.5,4.833333333
05:00:00,Sleep and rest,94.4,5
05:00:00,Personal care,2,5
05:00:00,Paid work,0.8,5
05:00:00,Travel,0.4,5
05:00:00,Unpaid household work,0.7,5
05:00:00,Unpaid care,0.1,5
05:00:00,Watching television,0.3,5
05:00:00,Entertainment and leisure,0.7,5
05:00:00,Education and study,0,5
05:00:00,Other,0.5,5
05:10:00,Sleep and rest,94.3,5.166666667
