Time,Activity,Value
4,Sleep and rest,97.1
4,Personal care,0.9
4,Paid work,0.7
4,Travel,0.1
4,Unpaid household work,0.2
4,Unpaid care,0.1
4,Watching television,0.2
4,Entertainment and leisure,0.3
4,Education and study,0
4,Other,0.4
4.166666667,Sleep and rest,97.1
4.166666667,Personal care,0.8
4.166666667,Paid work,0.7
4.166666667,Travel,0.1
4.166666667,Unpaid household work,0.2
4.166666667,Unpaid care,0.1
4.166666667,Watching television,0.2
4.166666667,Entertainment and leisure,0.3
4.166666667,Education and study,0
4.166666667,Other,0.4
4.333333333,Sleep and rest,97.1
4.333333333,Personal care,0.9
4.333333333,Paid work,0.7
4.333333333,Travel,0.1
4.333333333,Unpaid household work,0.2
4.333333333,Unpaid care,0.1
4.333333333,Watching television,0.2
4.333333333,Entertainment and leisure,0.4
4.333333333,Education and study,0
4.333333333,Other,0.4
4.5,Sleep and rest,96.6
4.5,Personal care,0.9
4.5,Paid work,0.7
4.5,Travel,0.1
4.5,Unpaid household work,0.4
4.5,Unpaid care,0.1
4.5,Watching television,0.2
4.5,Entertainment and leisure,0.4
4.5,Education and study,0
4.5,Other,0.5
4.666666667,Sleep and rest,96.3
4.666666667,Personal care,1.1
4.666666667,Paid work,0.7
4.666666667,Travel,0.2
4.666666667,Unpaid household work,0.3
4.666666667,Unpaid care,0.1
4.666666667,Watching television,0.2
4.666666667,Entertainment and leisure,0.4
4.666666667,Education and study,0
4.666666667,Other,0.5
4.833333333,Sleep and rest,96
4.833333333,Personal care,1.3
4.833333333,Paid work,0.7
4.833333333,Travel,0.2
4.833333333,Unpaid household work,0.3
4.833333333,Unpaid care,0.1
4.833333333,Watching television,0.3
4.833333333,Entertainment and leisure,0.4
4.833333333,Education and study,0
4.833333333,Other,0.5
5,Sleep and rest,94.4
5,Personal care,2
5,Paid work,0.8
5,Travel,0.4
5,Unpaid household work,0.7
5,Unpaid care,0.1
5,Watching television,0.3
5,Entertainment and leisure,0.7
5,Education and study,0
5,Other,0.5
5.166666667,Sleep and rest,94.3
5.166666667,Personal care,1.9
5.166666667,Paid work,0.8
5.166666667,Travel,0.5
5.166666667,Unpaid household work,0.9
5.166666667,Unpaid care,0.1
5.166666667,Watching television,0.3
5.166666667,Entertainment and leisure,0.7
5.166666667,Education and study,0
5.166666667,Other,0.5
5.333333333,Sleep and rest,93.7
5.333333333,Personal care,2.2
5.333333333,Paid work,0.8
5.333333333,Travel,0.6
5.333333333,Unpaid household work,0.7
5.333333333,Unpaid care,0.1
5.333333333,Watching television,0.3
5.333333333,Entertainment and leisure,0.7
5.333333333,Education and study,0
5.333333333,Other,0.8
5.5,Sleep and rest,91.6
5.5,Personal care,3.2
5.5,Paid work,1
5.5,Travel,1.1
5.5,Unpaid household work,0.8
5.5,Unpaid care,0.2
5.5,Watching television,0.3
5.5,Entertainment and leisure,0.8
5.5,Education and study,0
5.5,Other,0.9
5.666666667,Sleep and rest,90.7
5.666666667,Personal care,3.5
5.666666667,Paid work,1.1
5.666666667,Travel,1.7
5.666666667,Unpaid household work,0.8
5.666666667,Unpaid care,0.2
5.666666667,Watching television,0.4
5.666666667,Entertainment and leisure,0.9
5.666666667,Education and study,0
5.666666667,Other,0.7
