Time,Activity,Value,Time_2
04:00:00,Sleep and rest,96.2,4.00
04:00:00,Personal care,0.9,4.00
04:00:00,Paid work,1,4.00
04:00:00,Travel,0.5,4.00
04:00:00,Unpaid household work,0.3,4.00
04:00:00,Unpaid care,0.1,4.00
04:00:00,Watching television,0.2,4.00
04:00:00,Entertainment and leisure,0.4,4.00
04:00:00,Education and study,0,4.00
04:00:00,Other,0.4,4.00
04:10:00,Sleep and rest,96.3,4.17
04:10:00,Personal care,0.8,4.17
04:10:00,Paid work,1,4.17
04:10:00,Travel,0.5,4.17
04:10:00,Unpaid household work,0.3,4.17
04:10:00,Unpaid care,0.1,4.17
04:10:00,Watching television,0.2,4.17
04:10:00,Entertainment and leisure,0.4,4.17
04:10:00,Education and study,0,4.17
04:10:00,Other,0.5,4.17
04:20:00,Sleep and rest,96.2,4.33
04:20:00,Personal care,0.8,4.33
04:20:00,Paid work,1.1,4.33
04:20:00,Travel,0.4,4.33
04:20:00,Unpaid household work,0.3,4.33
04:20:00,Unpaid care,0.1,4.33
04:20:00,Watching television,0.2,4.33
04:20:00,Entertainment and leisure,0.4,4.33
04:20:00,Education and study,0,4.33
04:20:00,Other,0.4,4.33
04:30:00,Sleep and rest,95.9,4.50
04:30:00,Personal care,0.9,4.50
04:30:00,Paid work,1.2,4.50
04:30:00,Travel,0.3,4.50
04:30:00,Unpaid household work,0.4,4.50
04:30:00,Unpaid care,0.1,4.50
04:30:00,Watching television,0.3,4.50
04:30:00,Entertainment and leisure,0.4,4.50
04:30:00,Education and study,0,4.50
04:30:00,Other,0.5,4.50
04:40:00,Sleep and rest,95.7,4.67
04:40:00,Personal care,1.1,4.67
04:40:00,Paid work,1.2,4.67
04:40:00,Travel,0.3,4.67
04:40:00,Unpaid household work,0.4,4.67
04:40:00,Unpaid care,0.2,4.67
04:40:00,Watching television,0.3,4.67
04:40:00,Entertainment and leisure,0.4,4.67
04:40:00,Education and study,0,4.67
04:40:00,Other,0.5,4.67
04:50:00,Sleep and rest,95.6,4.83
04:50:00,Personal care,1.2,4.83
04:50:00,Paid work,1.2,4.83
04:50:00,Travel,0.4,4.83
04:50:00,Unpaid household work,0.4,4.83
04:50:00,Unpaid care,0.2,4.83
04:50:00,Watching television,0.3,4.83
04:50:00,Entertainment and leisure,0.4,4.83
04:50:00,Education and study,0,4.83
04:50:00,Other,0.6,4.83
05:00:00,Sleep and rest,94.8,5.00
05:00:00,Personal care,1.7,5.00
05:00:00,Paid work,1.2,5.00
05:00:00,Travel,0.4,5.00
05:00:00,Unpaid household work,0.6,5.00
05:00:00,Unpaid care,0,5.00
05:00:00,Watching television,0.3,5.00
05:00:00,Entertainment and leisure,0.4,5.00
05:00:00,Education and study,0,5.00
05:00:00,Other,0.6,5.00
05:10:00,Sleep and rest,94.6,5.17
05:10:00,Personal care,1.6,5.17
05:10:00,Paid work,1.2,5.17
05:10:00,Travel,0.5,5.17
05:10:00,Unpaid household work,0.5,5.17
05:10:00,Unpaid care,0.1,5.17
05:10:00,Watching television,0.4,5.17
05:10:00,Entertainment and leisure,0.5,5.17
05:10:00,Education and study,0,5.17
05:10:00,Other,0.6,5.17
05:20:00,Sleep and rest,94.7,5.33
05:20:00,Personal care,1.5,5.33
05:20:00,Paid work,1.2,5.33
05:20:00,Travel,0.6,5.33
05:20:00,Unpaid household work,0.5,5.33
05:20:00,Unpaid care,0.1,5.33
05:20:00,Watching television,0.4,5.33
05:20:00,Entertainment and leisure,0.4,5.33
05:20:00,Education and study,0,5.33
05:20:00,Other,0.7,5.33
05:30:00,Sleep and rest,93.6,5.50
05:30:00,Personal care,1.9,5.50
05:30:00,Paid work,1.2,5.50
05:30:00,Travel,0.7,5.50
05:30:00,Unpaid household work,0.6,5.50
05:30:00,Unpaid care,0.3,5.50
05:30:00,Watching television,0.4,5.50
05:30:00,Entertainment and leisure,0.6,5.50
05:30:00,Education and study,0,5.50
05:30:00,Other,0.7,5.50
05:40:00,Sleep and rest,93.2,5.67
05:40:00,Personal care,1.5,5.67
05:40:00,Paid work,1.2,5.67
05:40:00,Travel,0.9,5.67
05:40:00,Unpaid household work,0.8,5.67
05:40:00,Unpaid care,0.3,5.67
05:40:00,Watching television,0.4,5.67
05:40:00,Entertainment and leisure,0.7,5.67
05:40:00,Education and study,0,5.67
05:40:00,Other,0.9,5.67
05:50:00,Sleep and rest,93.1,5.83
05:50:00,Personal care,1.6,5.83
05:50:00,Paid work,1.5,5.83
05:50:00,Travel,0.8,5.83
05:50:00,Unpaid household work,0.8,5.83
05:50:00,Unpaid care,0.3,5.83
05:50:00,Watching television,0.4,5.83
05:50:00,Entertainment and leisure,0.7,5.83
05:50:00,Education and study,0,5.83
05:50:00,Other,0.9,5.83
06:00:00,Sleep and rest,90.2,6.00
06:00:00,Personal care,2.9,6.00
06:00:00,Paid work,1.8,6.00
06:00:00,Travel,1.1,6.00
06:00:00,Unpaid household work,1.5,6.00
06:00:00,Unpaid care,0.5,6.00
06:00:00,Watching television,0.2,6.00
06:00:00,Entertainment and leisure,1,6.00
06:00:00,Education and study,0,6.00
06:00:00,Other,0.7,6.00
06:10:00,Sleep and rest,89.9,6.17
06:10:00,Personal care,2.8,6.17
06:10:00,Paid work,2.1,6.17
06:10:00,Travel,1,6.17
06:10:00,Unpaid household work,1.4,6.17
06:10:00,Unpaid care,0.6,6.17
06:10:00,Watching television,0.3,6.17
06:10:00,Entertainment and leisure,1.4,6.17
06:10:00,Education and study,0,6.17
06:10:00,Other,0.7,6.17
06:20:00,Sleep and rest,88.9,6.33
06:20:00,Personal care,2.6,6.33
06:20:00,Paid work,2.1,6.33
06:20:00,Travel,1.1,6.33
06:20:00,Unpaid household work,1.9,6.33
06:20:00,Unpaid care,0.7,6.33
06:20:00,Watching television,0.3,6.33
06:20:00,Entertainment and leisure,1.7,6.33
06:20:00,Education and study,0,6.33
06:20:00,Other,0.7,6.33
06:30:00,Sleep and rest,85,6.50
06:30:00,Personal care,4.7,6.50
06:30:00,Paid work,2.3,6.50
06:30:00,Travel,1.4,6.50
06:30:00,Unpaid household work,2.4,6.50
06:30:00,Unpaid care,0.8,6.50
06:30:00,Watching television,0.5,6.50
06:30:00,Entertainment and leisure,2.3,6.50
06:30:00,Education and study,0,6.50
06:30:00,Other,0.5,6.50
06:40:00,Sleep and rest,84.4,6.67
06:40:00,Personal care,4.6,6.67
06:40:00,Paid work,2.4,6.67
06:40:00,Travel,1.3,6.67
06:40:00,Unpaid household work,2.9,6.67
06:40:00,Unpaid care,0.8,6.67
06:40:00,Watching television,0.6,6.67
06:40:00,Entertainment and leisure,2.6,6.67
06:40:00,Education and study,0,6.67
06:40:00,Other,0.3,6.67
06:50:00,Sleep and rest,83.4,6.83
06:50:00,Personal care,5,6.83
06:50:00,Paid work,2.4,6.83
06:50:00,Travel,1.3,6.83
06:50:00,Unpaid household work,3.2,6.83
06:50:00,Unpaid care,0.9,6.83
06:50:00,Watching television,0.7,6.83
06:50:00,Entertainment and leisure,2.8,6.83
06:50:00,Education and study,0,6.83
06:50:00,Other,0.3,6.83
07:00:00,Sleep and rest,74.6,7.00
07:00:00,Personal care,10.8,7.00
07:00:00,Paid work,2.7,7.00
07:00:00,Travel,1,7.00
07:00:00,Unpaid household work,4.6,7.00
07:00:00,Unpaid care,1,7.00
07:00:00,Watching television,1.2,7.00
07:00:00,Entertainment and leisure,3.6,7.00
07:00:00,Education and study,0.1,7.00
07:00:00,Other,0.4,7.00
07:10:00,Sleep and rest,73.2,7.17
07:10:00,Personal care,10.8,7.17
07:10:00,Paid work,2.7,7.17
07:10:00,Travel,1.2,7.17
07:10:00,Unpaid household work,4.8,7.17
07:10:00,Unpaid care,1.2,7.17
07:10:00,Watching television,1.2,7.17
07:10:00,Entertainment and leisure,4.1,7.17
07:10:00,Education and study,0.1,7.17
07:10:00,Other,0.5,7.17
07:20:00,Sleep and rest,72,7.33
07:20:00,Personal care,10.9,7.33
07:20:00,Paid work,2.7,7.33
07:20:00,Travel,1.6,7.33
07:20:00,Unpaid household work,4.9,7.33
07:20:00,Unpaid care,1.3,7.33
07:20:00,Watching television,1.5,7.33
07:20:00,Entertainment and leisure,4.6,7.33
07:20:00,Education and study,0.1,7.33
07:20:00,Other,0.6,7.33
07:30:00,Sleep and rest,65,7.50
07:30:00,Personal care,13.6,7.50
07:30:00,Paid work,3,7.50
07:30:00,Travel,2,7.50
07:30:00,Unpaid household work,7.2,7.50
07:30:00,Unpaid care,1.3,7.50
07:30:00,Watching television,1.8,7.50
07:30:00,Entertainment and leisure,5.5,7.50
07:30:00,Education and study,0.1,7.50
07:30:00,Other,0.5,7.50
07:40:00,Sleep and rest,63.7,7.67
07:40:00,Personal care,14.3,7.67
07:40:00,Paid work,2.9,7.67
07:40:00,Travel,2.2,7.67
07:40:00,Unpaid household work,7.4,7.67
07:40:00,Unpaid care,1.1,7.67
07:40:00,Watching television,1.9,7.67
07:40:00,Entertainment and leisure,5.8,7.67
07:40:00,Education and study,0.1,7.67
07:40:00,Other,0.6,7.67
07:50:00,Sleep and rest,62.1,7.83
07:50:00,Personal care,13.8,7.83
07:50:00,Paid work,3.1,7.83
07:50:00,Travel,2.5,7.83
07:50:00,Unpaid household work,7.9,7.83
07:50:00,Unpaid care,1.3,7.83
07:50:00,Watching television,2.3,7.83
07:50:00,Entertainment and leisure,6.5,7.83
07:50:00,Education and study,0.1,7.83
07:50:00,Other,0.5,7.83
08:00:00,Sleep and rest,50,8.00
08:00:00,Personal care,21.1,8.00
08:00:00,Paid work,3.8,8.00
08:00:00,Travel,2.5,8.00
08:00:00,Unpaid household work,10.4,8.00
08:00:00,Unpaid care,1.9,8.00
08:00:00,Watching television,2.3,8.00
08:00:00,Entertainment and leisure,7.2,8.00
08:00:00,Education and study,0.1,8.00
08:00:00,Other,0.7,8.00
08:10:00,Sleep and rest,48.8,8.17
08:10:00,Personal care,20.3,8.17
08:10:00,Paid work,3.8,8.17
08:10:00,Travel,2.8,8.17
08:10:00,Unpaid household work,11,8.17
08:10:00,Unpaid care,1.9,8.17
08:10:00,Watching television,2.5,8.17
08:10:00,Entertainment and leisure,8.1,8.17
08:10:00,Education and study,0.2,8.17
08:10:00,Other,0.6,8.17
08:20:00,Sleep and rest,47.3,8.33
08:20:00,Personal care,21.3,8.33
08:20:00,Paid work,3.9,8.33
08:20:00,Travel,2.8,8.33
08:20:00,Unpaid household work,10.9,8.33
08:20:00,Unpaid care,2.2,8.33
08:20:00,Watching television,2.4,8.33
08:20:00,Entertainment and leisure,8.3,8.33
08:20:00,Education and study,0.2,8.33
08:20:00,Other,0.7,8.33
08:30:00,Sleep and rest,39,8.50
08:30:00,Personal care,22.9,8.50
08:30:00,Paid work,4.2,8.50
08:30:00,Travel,4.3,8.50
08:30:00,Unpaid household work,14.4,8.50
08:30:00,Unpaid care,2.5,8.50
08:30:00,Watching television,2.8,8.50
08:30:00,Entertainment and leisure,9.1,8.50
08:30:00,Education and study,0.2,8.50
08:30:00,Other,0.6,8.50
08:40:00,Sleep and rest,37.5,8.67
08:40:00,Personal care,22.7,8.67
08:40:00,Paid work,4.2,8.67
08:40:00,Travel,4.9,8.67
08:40:00,Unpaid household work,14.9,8.67
08:40:00,Unpaid care,2.5,8.67
08:40:00,Watching television,2.9,8.67
08:40:00,Entertainment and leisure,9.2,8.67
08:40:00,Education and study,0.3,8.67
08:40:00,Other,0.9,8.67
08:50:00,Sleep and rest,36.5,8.83
08:50:00,Personal care,22.5,8.83
08:50:00,Paid work,4.7,8.83
08:50:00,Travel,4.7,8.83
08:50:00,Unpaid household work,15,8.83
08:50:00,Unpaid care,2.3,8.83
08:50:00,Watching television,3.1,8.83
08:50:00,Entertainment and leisure,9.9,8.83
08:50:00,Education and study,0.3,8.83
08:50:00,Other,1,8.83
09:00:00,Sleep and rest,26.8,9.00
09:00:00,Personal care,25.7,9.00
09:00:00,Paid work,5.4,9.00
09:00:00,Travel,4.5,9.00
09:00:00,Unpaid household work,18.7,9.00
