year,earnings_weekly,sector,real_annual
2000 Jan,308,private,22081.43912
2000 Feb,317,private,22609.33459
2000 Mar,332,private,23631.0715
2000 Apr,307,private,21750.25611
2000 May,306,private,21650.89694
2000 Jun,307,private,21695.63367
2000 Jul,309,private,21904.35536
2000 Aug,307,private,21757.05908
2000 Sep,307,private,21661.95216
2000 Oct,307,private,21630.46717
2000 Nov,310,private,21783.43604
2000 Dec,329,private,23096.54524
2001 Jan,327,private,23148.55383
2001 Feb,347,private,24493.79605
2001 Mar,348,private,24484.66996
2001 Apr,324,private,22670.65347
2001 May,320,private,22231.41627
2001 Jun,325,private,22541.02548
2001 Jul,323,private,22568.89579
2001 Aug,321,private,22302.99694
2001 Sep,320,private,22193.64637
2001 Oct,321,private,22268.6184
2001 Nov,323,private,22440.03136
2001 Dec,337,private,23384.70472
2002 Jan,338,private,23506.24382
2002 Feb,356,private,24660.30124
2002 Mar,356,private,24610.19429
2002 Apr,336,private,23094.30548
2002 May,332,private,22761.58859
2002 Jun,337,private,23129.05518
2002 Jul,336,private,23109.77641
2002 Aug,331,private,22698.64608
2002 Sep,330,private,22591.81751
2002 Oct,330,private,22559.59923
2002 Nov,331,private,22631.81409
2002 Dec,343,private,23367.22869
2003 Jan,345,private,23626.65417
2003 Feb,362,private,24764.94331
2003 Mar,373,private,25400.4876
2003 Apr,343,private,23200.31118
2003 May,340,private,23032.23162
2003 Jun,344,private,23309.71278
2003 Jul,344,private,23361.74865
2003 Aug,339,private,22923.47375
2003 Sep,340,private,22980.01347
2003 Oct,342,private,23094.60183
2003 Nov,342,private,23090.68467
2003 Dec,355,private,23890.31916
2004 Jan,375,private,25331.67998
2004 Feb,375,private,25281.40703
2004 Mar,387,private,26032.33419
2004 Apr,356,private,23839.11981
2004 May,355,private,23699.44495
2004 Jun,358,private,23906.47411
2004 Jul,357,private,23872.93856
2004 Aug,354,private,23604.74852
2004 Sep,354,private,23612.3336
2004 Oct,356,private,23701.75185
2004 Nov,356,private,23618.92853
2004 Dec,370,private,24473.79154
2005 Jan,392,private,26002.71259
2005 Feb,400,private,26504.66694
2005 Mar,402,private,26551.57269
2005 Apr,370,private,24303.4065
2005 May,366,private,24001.59977
2005 Jun,373,private,24418.20663
2005 Jul,373,private,24382.20051
2005 Aug,371,private,24185.77697
2005 Sep,370,private,24055.53729
2005 Oct,369,private,23995.42358
2005 Nov,371,private,24121.05898
2005 Dec,385,private,24940.09921
2006 Jan,404,private,26262.67642
2006 Feb,427,private,27705.93312
2006 Mar,429,private,27757.29537
2006 Apr,386,private,24784.67722
2006 May,384,private,24591.93019
2006 Jun,395,private,25227.26833
2006 Jul,391,private,24945.59769
2006 Aug,385,private,24476.66703
2006 Sep,384,private,24406.1701
2006 Oct,386,private,24480.98373
2006 Nov,388,private,24535.63046
2006 Dec,410,private,25797.28662
2007 Jan,432,private,27368.34647
2007 Feb,465,private,29375.60193
2007 Mar,450,private,28277.46264
2007 Apr,402,private,25174.11902
2007 May,403,private,25143.3455
2007 Jun,413,private,25719.69006
2007 Jul,411,private,25714.66092
2007 Aug,406,private,25330.77544
2007 Sep,408,private,25402.58978
2007 Oct,404,private,25063.34376
2007 Nov,408,private,25222.09184
2007 Dec,423,private,26008.21771
2008 Jan,448,private,27719.1483
2008 Feb,488,private,29966.50375
2008 Mar,473,private,28993.36302
2008 Apr,422,private,25660.61023
2008 May,421,private,25422.24129
2008 Jun,428,private,25674.30713
2008 Jul,423,private,25376.94674
2008 Aug,418,private,24926.80776
2008 Sep,418,private,24840.93246
2008 Oct,418,private,24916.57696
2008 Nov,416,private,24779.54813
2008 Dec,433,private,25833.92429
2009 Jan,436,private,26154.1415
2009 Feb,450,private,26844.26327
2009 Mar,465,private,27668.95309
2009 Apr,428,private,25462.70653
2009 May,422,private,24978.82149
2009 Jun,429,private,25345.74991
2009 Jul,420,private,24843.34196
2009 Aug,416,private,24508.79146
2009 Sep,418,private,24634.86811
2009 Oct,416,private,24489.17707
2009 Nov,417,private,24486.69046
2009 Dec,433,private,25355.98144
2010 Jan,435,private,25446.01599
2010 Feb,476,private,27827.68483
2010 Mar,497,private,28915.18262
2010 Apr,426,private,24650.69113
2010 May,427,private,24627.06264
2010 Jun ,430,private,24769.46273
2010 Jul,427,private,24669.1172
2010 Aug,424,private,24384.6734
2010 Sep,427,private,24556.26501
2010 Oct,425,private,24371.29777
2010 Nov,425,private,24301.62199
2010 Dec,437,private,24798.04095
2011 Jan,455,private,25785.8044
2011 Feb,479,private,26998.24279
2011 Mar,507,private,28449.34878
2011 Apr,436,private,24317.70066
2011 May,437,private,24288.86175
2011 Jun,444,private,24693.80961
2011 Jul,440,private,24450.66562
2011 Aug,433,private,23957.18893
2011 Sep,434,private,23897.08926
2011 Oct,434,private,23869.33964
2011 Nov,434,private,23840.52657
2011 Dec,447,private,24452.52433
2012 Jan,454,private,24917.07869
2012 Feb,479,private,26190.99733
2012 Mar,510,private,27810.28178
2012 Apr,448,private,24315.32749
2012 May,445,private,24135.47189
2012 Jun,452,private,24567.95773
2012 Jul,448,private,24330.86658
2012 Aug,442,private,23899.96151
2012 Sep,442,private,23821.14964
2012 Oct,439,private,23571.14604
2012 Nov,440,private,23588.83151
2012 Dec,452,private,24133.90314
2013 Jan,457,private,24525.32045
2013 Feb,482,private,25704.6297
2013 Mar,504,private,26806.42639
2013 Apr,472,private,25029.54311
2013 May,455,private,24093.36384
2013 Jun,458,private,24294.32703
2013 Jul,452,private,23993.90851
2013 Aug,447,private,23614.88459
2013 Sep,446,private,23507.36432
2013 Oct,445,private,23401.45346
2013 Nov,443,private,23340.85982
2013 Dec,461,private,24179.2667
2014 Jan,465,private,24510.6632
2014 Feb,494,private,25916.43468
2014 Mar,513,private,26861.71011
2014 Apr,463,private,24178.86691
2014 May,458,private,23930.6212
2014 Jun,464,private,24185.57109
2014 Jul,454,private,23720.7971
2014 Aug,451,private,23492.42489
2014 Sep,454,private,23603.4522
2014 Oct,455,private,23638.25009
2014 Nov,453,private,23566.98215
