year,earnings_weekly,sector,real_annual
2000,308,private,22081.43912
2001,327,private,23148.55383
2002,338,private,23506.24382
2003,345,private,23626.65417
2004,375,private,25331.67998
2005,392,private,26002.71259
2006,404,private,26262.67642
2007,432,private,27368.34647
2008,448,private,27719.1483
2009,436,private,26154.1415
2010,435,private,25446.01599
2011,455,private,25785.8044
2012,454,private,24917.07869
2013,457,private,24525.32045
2014,465,private,24510.6632
2015,472,private,24738.95545
2016,486,private,25301.36156
2017,495,private,25269.78973
2018,509,private,25315.74345
2019,531,private,25933.77865
2020,549,private,26367.69066
2021,572,private,27217.45148
2022,606,private,27501.64184
2023,641,private,26711.90777
2024,675,private,26995.24406
2000,310,public,22206.18071
2001,319,public,22564.7007
2002,334,public,23216.93045
2003,348,public,23822.69692
2004,363,public,24520.89713
2005,382,public,25368.35176
2006,400,public,26001.39999
2007,415,public,26260.67083
2008,427,public,26379.79226
2009,441,public,26485.91102
2010,457,public,26778.01093
2011,470,public,26597.52185
2012,473,public,25985.25772
2013,483,public,25877.78908
2014,487,public,25660.49283
2015,491,public,25734.93729
2016,499,public,25983.83816
2017,505,public,25794.6606
2018,518,public,25754.10745
2019,532,public,25980.98393
2020,548,public,26299.17737
2021,577,public,27449.22045
2022,590,public,26768.78514
2023,624,public,25990.08647
2024,663,public,26511.43943
