pc,year2,sector,real_annual,year
0.242196731,2010-01-01,private,25446.01599,2010
9.605998089,2010-02-01,private,27827.68483,2010
4.374972874,2010-03-01,private,28915.18262,2010
-14.27147855,2010-04-01,private,24650.69113,2010
0.126402901,2010-05-01,private,24627.06264,2010
0.68985561,2010-06-01,private,24769.46273,2010
-0.625949158,2010-07-01,private,24669.1172,2010
-0.713716126,2010-08-01,private,24384.6734,2010
0.703686317,2010-09-01,private,24556.26501,2010
-0.53366602,2010-10-01,private,24371.29777,2010
0.044286405,2010-11-01,private,24301.62199,2010
2.940805923,2010-12-01,private,24798.04095,2010
4.096626806,2011-01-01,private,25785.8044,2011
5.272232837,2011-02-01,private,26998.24279,2011
5.717313122,2011-03-01,private,28449.34878,2011
-13.87666566,2011-04-01,private,24317.70066,2011
0.095515829,2011-05-01,private,24288.86175,2011
1.667216261,2011-06-01,private,24693.80961,2011
-0.984635399,2011-07-01,private,24450.66562,2011
-1.599081383,2011-08-01,private,23957.18893,2011
0.386511912,2011-09-01,private,23897.08926,2011
-0.116121356,2011-10-01,private,23869.33964,2011
0.090673131,2011-11-01,private,23840.52657,2011
2.891969979,2011-12-01,private,24452.52433,2011
1.578032794,2012-01-01,private,24917.07869,2012
5.667609342,2012-02-01,private,26190.99733,2012
6.405672108,2012-03-01,private,27810.28178,2012
-12.10888652,2012-04-01,private,24315.32749,2012
-0.73967996,2012-05-01,private,24135.47189,2012
1.473478195,2012-06-01,private,24567.95773,2012
-0.861449095,2012-07-01,private,24330.86658,2012
-1.360451864,2012-08-01,private,23899.96151,2012
-0.018611898,2012-09-01,private,23821.14964,2012
-0.638919695,2012-10-01,private,23571.14604,2012
0.281796762,2012-11-01,private,23588.83151,2012
2.627143981,2012-12-01,private,24133.90314,2012
1.308531284,2013-01-01,private,24525.32045,2013
5.348787748,2013-02-01,private,25704.6297,2013
4.607255653,2013-03-01,private,26806.42639,2013
-6.437628409,2013-04-01,private,25029.54311,2013
-3.543848695,2013-05-01,private,24093.36384,2013
0.628737079,2013-06-01,private,24294.32703,2013
-1.236578912,2013-07-01,private,23993.90851,2013
-1.177951605,2013-08-01,private,23614.88459,2013
-0.151817303,2013-09-01,private,23507.36432,2013
-0.349682693,2013-10-01,private,23401.45346,2013
-0.258931079,2013-11-01,private,23340.85982,2013
4.011414547,2013-12-01,private,24179.2667,2013
0.859640859,2014-01-01,private,24510.6632,2014
6.16385858,2014-02-01,private,25916.43468,2014
3.85657505,2014-03-01,private,26861.71011,2014
-9.71567058,2014-04-01,private,24178.86691,2014
-1.026705291,2014-05-01,private,23930.6212,2014
1.268313458,2014-06-01,private,24185.57109,2014
-2.118249155,2014-07-01,private,23720.7971,2014
-0.664446019,2014-08-01,private,23492.42489,2014
0.573182158,2014-09-01,private,23603.4522,2014
0.247574555,2014-10-01,private,23638.25009,2014
-0.500691968,2014-11-01,private,23566.98215,2014
4.913429709,2014-12-01,private,24724.92925,2014
-0.64436921,2015-01-01,private,24738.95545,2015
4.951065831,2015-02-01,private,25885.51462,2015
9.169026173,2015-03-01,private,28230.59177,2015
-11.58831709,2015-04-01,private,24884.18891,2015
-1.062389907,2015-05-01,private,24570.63134,2015
0.501486418,2015-06-01,private,24693.84972,2015
-0.288791766,2015-07-01,private,24647.15845,2015
-1.298561164,2015-08-01,private,24254.33701,2015
-0.876642551,2015-09-01,private,24065.7069,2015
0.170131535,2015-10-01,private,24082.61571,2015
-0.336377518,2015-11-01,private,24001.6072,2015
4.751817965,2015-12-01,private,25117.07794,2015
0.232036649,2016-01-01,private,25301.36156,2016
2.964839276,2016-02-01,private,25999.4553,2016
10.61696119,2016-03-01,private,28673.8717,2016
-10.80727688,2016-04-01,private,25524.16205,2016
-1.718071505,2016-05-01,private,25035.8656,2016
0.322508563,2016-06-01,private,25066.87256,2016
0.138683714,2016-07-01,private,25126.51396,2016
-2.027306217,2016-08-01,private,24544.14692,2016
-0.070143971,2016-09-01,private,24454.43729,2016
0.406361026,2016-10-01,private,24529.64346,2016
-0.09430867,2016-11-01,private,24458.36349,2016
3.23915856,2016-12-01,private,25151.78045,2016
0.07596278,2017-01-01,private,25269.78973,2017
3.86912801,2017-02-01,private,26093.71624,2017
10.71042029,2017-03-01,private,28804.07597,2017
-11.98458026,2017-04-01,private,25229.19878,2017
-1.053503881,2017-05-01,private,24891.05048,2017
1.641812734,2017-06-01,private,25299.71492,2017
-1.584022959,2017-07-01,private,24898.96163,2017
-1.13606295,2017-08-01,private,24497.74714,2017
0.589913334,2017-09-01,private,24571.38363,2017
-0.265331185,2017-10-01,private,24482.71473,2017
-0.087226346,2017-11-01,private,24391.26949,2017
4.161750786,2017-12-01,private,25333.78371,2017
-0.547061639,2018-01-01,private,25315.74345,2018
3.272885001,2018-02-01,private,26044.60635,2018
11.16484696,2018-03-01,private,28897.35174,2018
-11.99088765,2018-04-01,private,25335.87697,2018
-1.106930002,2018-05-01,private,24960.78849,2018
1.098658929,2018-06-01,private,25235.02242,2018
-0.37023652,2018-07-01,private,25141.59315,2018
-1.147504274,2018-08-01,private,24713.07487,2018
0.181224018,2018-09-01,private,24734.63589,2018
1.438150361,2018-10-01,private,25066.84228,2018
-1.255339426,2018-11-01,private,24705.85931,2018
4.126629889,2018-12-01,private,25677.33877,2018
0.338578957,2019-01-01,private,25933.77865,2019
2.400762077,2019-02-01,private,26456.92485,2019
10.21126635,2019-03-01,private,29104.01002,2019
-11.24397133,2019-04-01,private,25687.52131,2019
-0.46866434,2019-05-01,private,25496.04742,2019
0.887001746,2019-06-01,private,25722.19781,2019
-0.308423759,2019-07-01,private,25619.12104,2019
-1.649108,2019-08-01,private,25126.8373,2019
0.793187937,2019-09-01,private,25302.77674,2019
-0.301821683,2019-10-01,private,25249.70056,2019
-0.161816337,2019-11-01,private,25162.37451,2019
3.305421107,2019-12-01,private,25994.09694,2019
1.25024414,2020-01-01,private,26367.69066,2020
1.057134895,2020-02-01,private,26572.82378,2020
8.596350545,2020-03-01,private,28857.11687,2020
-13.46558362,2020-04-01,private,24971.33766,2020
-1.061145921,2020-05-01,private,24706.35533,2020
0.413768454,2020-06-01,private,24762.97843,2020
1.660557309,2020-07-01,private,25081.96875,2020
1.011217374,2020-08-01,private,25428.74758,2020
1.114154937,2020-09-01,private,25617.87984,2020
1.394650953,2020-10-01,private,25975.15985,2020
1.204129054,2020-11-01,private,26312.02956,2020
4.037664102,2020-12-01,private,27299.35396,2020
-0.391149624,2021-01-01,private,27217.45148,2021
0.732663652,2021-02-01,private,27391.80274,2021
8.927007971,2021-03-01,private,29755.47478,2021
-8.541224275,2021-04-01,private,27041.44046,2021
-0.596066721,2021-05-01,private,26734.95675,2021
0.257240168,2021-06-01,private,26707.4866,2021
-0.349970362,2021-07-01,private,26614.01832,2021
-0.663064087,2021-08-01,private,26272.46303,2021
-0.052800585,2021-09-01,private,26188.50581,2021
0.940111312,2021-10-01,private,26201.59662,2021
0.269664425,2021-11-01,private,26111.07354,2021
7.115503093,2021-12-01,private,27827.06779,2021
-1.240124166,2022-01-01,private,27501.64184,2022
0.660750419,2022-02-01,private,27491.44669,2022
15.25073345,2022-03-01,private,31384.93083,2022
-13.72208884,2022-04-01,private,26509.39167,2022
-1.438725943,2022-05-01,private,25975.19889,2022
2.811522132,2022-06-01,private,26528.19944,2022
-1.13656817,2022-07-01,private,26075.2141,2022
-0.357082996,2022-08-01,private,25854.11329,2022
-0.078333475,2022-09-01,private,25728.24409,2022
0.991385173,2022-10-01,private,25565.23591,2022
1.080557825,2022-11-01,private,25737.95149,2022
4.369511233,2022-12-01,private,26755.38114,2022
-0.560878496,2023-01-01,private,26711.90777,2023
1.796341672,2023-02-01,private,26932.7759,2023
13.98513663,2023-03-01,private,30505.67459,2023
-11.81638154,2023-04-01,private,26586.49863,2023
-1.272639268,2023-05-01,private,26085.49528,2023
1.774088805,2023-06-01,private,26486.72581,2023
-0.77939588,2023-07-01,private,26361.77863,2023
-0.780938102,2023-08-01,private,26075.05657,2023
1.176352621,2023-09-01,private,26239.84457,2023
-1.491894357,2023-10-01,private,25828.52099,2023
0.727271806,2023-11-01,private,26056.38972,2023
4.566136675,2023-12-01,private,27141.76867,2023
-0.920922533,2024-01-01,private,26995.24406,2024
2.249568519,2024-02-01,private,27433.69781,2024
14.74580815,2024-03-01,private,31287.65645,2024
-12.48978646,2024-04-01,private,27255.62918,2024
-2.205549599,2024-05-01,private,26554.06136,2024
-1.015198581,2010-01-01,public,26778.01093,2010
0.462666755,2010-02-01,public,26841.45017,2010
