reason,value,type
"The cost of raising children up (e.g. food, clothing, education)",39,Financial
Concerns about the general cost of living,36,Financial
Cost of childcare,29,Financial
Cost of developing/extending current home/moving house,17,Financial
My child would grow up to be worse off than I was,16,Financial
Cost of antenatal care,5,Financial
Want to dedicate time to the child(ren) I have,21,Time/commitments
Want to focus on other things,18,Time/commitments
Want to focus on my career,16,Time/commitments
I wouldn’t have enough time to dedicate to the child,14,Time/commitments
I have other commitments/unable to dedicate time to children,10,Time/commitments
I/my partner don’t want to have another/a child(ren),30,Personal
I/my partner is too old/too young,19,Personal
I feel daunted at the thought of having another/a child(ren),19,Personal
Haven’t found a suitable partner to have children with,12,Personal
Concerns about my/my partner’s health,12,Personal
Relationship with partner is too early/not ready for children,5,Personal
I/my partner is unable to have children,5,Personal
Impact of climate change/global warming on children’s future,14,Resources
Concerns about accessibility of suitable housing,13,Resources
Concerns about accessibility of adequate healthcare for child,13,Resources
Impact of children on environment/climate change/global warming,11,Resources
Concerns about accessibility of adequate education for child,11,Resources
Concerns about adequate healthcare during pregnancy,9,Resources
The world is too dangerous today,15,Other
Other,6,Other
Don’t know,1,Other
