Country,ISO,Turnout,Year,Enforcement
Singapore,SGP,95.81,2020.00,Strict
Singapore,SGP,93.7,2015.00,Strict
Singapore,SGP,93.18,2011.00,Strict
Singapore,SGP,94.01,2006.00,Strict
Singapore,SGP,94.61,2001.00,Strict
Singapore,SGP,95.91,1997.00,Strict
Singapore,SGP,95.03,1991.00,Strict
Singapore,SGP,94.7,1988.00,Strict
Singapore,SGP,95.59,1984.00,Strict
Singapore,SGP,95.48,1980.00,Strict
Singapore,SGP,95.1,1976.00,Strict
Singapore,SGP,82.15,1972.00,Strict
Singapore,SGP,94.09,1968.00,Strict
Argentina,ARG,71.51,2021.00,Low
Argentina,ARG,76.74,2017.00,Low
Argentina,ARG,77.17,2013.00,Low
Argentina,ARG,79.39,2011.00,Low
Argentina,ARG,72.39,2009.00,Low
Argentina,ARG,73.33,2005.00,Low
Argentina,ARG,75.21,2001.00,Low
Argentina,ARG,80.54,1999.00,Low
Argentina,ARG,78.22,1997.00,Low
Argentina,ARG,80.96,1995.00,Low
Argentina,ARG,79.7,1993.00,Low
Argentina,ARG,89.71,1991.00,Low
Argentina,ARG,84.24,1989.00,Low
Argentina,ARG,83.61,1987.00,Low
Argentina,ARG,82.19,1985.00,Low
Argentina,ARG,83.25,1983.00,Low
Argentina,ARG,85.55,1973.00,Low
Argentina,ARG,83.46,1965.00,Low
Argentina,ARG,85.59,1963.00,Low
Argentina,ARG,85.73,1962.00,Low
Argentina,ARG,87.07,1960.00,Low
Argentina,ARG,90.86,1958.00,Low
Argentina,ARG,86,1954.00,Low
Argentina,ARG,87.95,1951.00,Low
Argentina,ARG,83.39,1946.00,Low
Argentina,ARG,80.37,2019.00,Low
Argentina,ARG,81.06,2015.00,Low
Argentina,ARG,76.21,2007.00,Low
Argentina,ARG,77.01,2023.00,Low
Australia,AUS,89.74,2022.00,Strict
Australia,AUS,91.89,2019.00,Strict
Australia,AUS,91.01,2016.00,Strict
Australia,AUS,93.23,2013.00,Strict
Australia,AUS,93.22,2010.00,Strict
Australia,AUS,94.76,2007.00,Strict
Australia,AUS,94.32,2004.00,Strict
Australia,AUS,94.85,2001.00,Strict
Australia,AUS,94.99,1998.00,Strict
Australia,AUS,95.77,1996.00,Strict
Australia,AUS,95.75,1993.00,Strict
Australia,AUS,95.31,1990.00,Strict
Australia,AUS,93.84,1987.00,Strict
Australia,AUS,94.19,1984.00,Strict
Australia,AUS,94.64,1983.00,Strict
Australia,AUS,94.35,1980.00,Strict
Australia,AUS,95.08,1977.00,Strict
Australia,AUS,95.39,1975.00,Strict
