Region,code,authority,2015,2016,2017,2018,2019,2020,2021
North East,E06000001,Hartlepool,22.8,19.6,19.2,18.6,19.3,17.7,17.3
North East,E06000002,Middlesbrough,20.8,17.1,18.6,17.4,17.2,15.7,17.9
North East,E06000003,Redcar and Cleveland,17.3,16.3,15,13.5,15.5,17.1,13.3
North East,E06000004,Stockton-on-Tees,18.4,12.4,15,16.4,13.2,13,12.5
North East,E06000005,Darlington,17.9,17.3,14.4,13.8,13.7,13.8,10.6
North East,E06000047,County Durham,19,17.9,14.3,15,17,16.5,16.2
North East,E06000057,Northumberland,16.6,16.9,13,12.1,12.9,13.6,11.8
North East,E08000021,Newcastle upon Tyne,18.6,17.6,15.2,16,13,15.2,15.6
North East,E08000022,North Tyneside,18,16.4,16.5,14.9,13.9,15.4,15.3
North East,E08000023,South Tyneside,17.4,18.5,18.4,18.8,16.3,18,16.3
North East,E08000024,Sunderland,21.5,18,22.7,20.2,16,18.2,15.2
North East,E08000037,Gateshead,18.3,17.9,16.5,17.8,17.1,15,14.1
North West,E06000006,Halton,20,16.6,15,17.9,14.9,13.2,13.2
North West,E06000007,Warrington,14.8,12.6,12.5,10.5,11.3,9.9,10
North West,E06000008,Blackburn with Darwen,21.3,19.5,16.7,16.2,15.5,17,15.5
North West,E06000009,Blackpool,25.3,22.5,22.3,21.1,23.4,23.2,20.6
North West,E06000049,Cheshire East,12.5,13.3,16.4,8.7,13.8,10.9,13.5
North West,E06000050,Cheshire West and Chester,13.1,11.7,12.7,13.8,11.3,13.3,8.8
North West,E07000026,Allerdale,17.2,17.7,13.6,13.1,15.5,11.7,15.5
North West,E07000027,Barrow-in-Furness,20.1,16.2,18.1,19.3,21.4,14.5,19
North West,E07000028,Carlisle,13.9,14.2,16.1,14.7,17.7,17.9,14.7
North West,E07000029,Copeland,19.6,16.1,17.2,16.9,14.6,18.1,17.8
North West,E07000030,Eden,14.7,18.6,13.1,8.7,8.3,9.5,8.2
North West,E07000031,South Lakeland,10.5,12.5,9.4,10.1,12.4,6.3,10.4
North West,E07000117,Burnley,21.6,24,10.3,24.8,21.5,24.1,21.2
North West,E07000118,Chorley,19.1,13.2,13.7,8,16.6,18.8,17.6
North West,E07000119,Fylde,16.6,18.2,11.7,12.7,7.7,4.5,9.3
North West,E07000120,Hyndburn,17.7,21.9,19.4,14.7,12.1,9.5,19.5
North West,E07000121,Lancaster,19.4,14.7,19.3,14.9,11.2,14,13.6
North West,E07000122,Pendle,20.8,11.9,20.2,13.9,17.4,15.4,11.8
North West,E07000123,Preston,19.2,18,20.2,17.3,15.3,13.2,12.2
North West,E07000124,Ribble Valley,10.8,7.3,7,8.3,5.1,12.7,17.8
North West,E07000125,Rossendale,21.8,25.4,14.9,18.7,12,17.8,20.9
North West,E07000126,South Ribble,16.1,7.7,10.6,10.3,10.9,13.7,14.4
North West,E07000127,West Lancashire,19.1,16.5,13.7,14.1,19.2,22.1,12.4
North West,E07000128,Wyre,14.2,16.2,11.2,13.1,14,8.5,11.4
North West,E08000001,Bolton,18.4,17.9,16.1,15.3,15.9,16.6,18.4
North West,E08000002,Bury,19.5,19.1,16.3,16,12.8,11.8,11.4
North West,E08000003,Manchester,22.7,21.7,22,17.2,18,21.4,16.8
North West,E08000004,Oldham,22.3,18.8,16.6,18,17.9,14.9,19.3
North West,E08000005,Rochdale,22,19.4,17.8,16.2,15.2,17.8,15.6
North West,E08000006,Salford,22.3,20.3,21.2,20,19.1,14.6,13.9
North West,E08000007,Stockport,15.1,12.2,14.3,13.3,13.4,14.5,12.6
North West,E08000008,Tameside,21.7,22.1,17.6,17,18.2,18.3,19.2
North West,E08000009,Trafford,16.4,12.6,12.7,13.5,9.1,9.9,11.1
North West,E08000010,Wigan,18.7,17.7,15.6,15.5,17,17.1,13.9
North West,E08000011,Knowsley,21.4,20.5,19.7,18.1,14.3,14.7,16
North West,E08000012,Liverpool,23.1,18.9,15.5,14.7,14.1,18.4,17.8
North West,E08000013,St. Helens,20.3,17.6,16.1,15.8,13,12.9,10.6
North West,E08000014,Sefton,14.3,12.8,12.4,11.1,9.5,7.7,10
North West,E08000015,Wirral,18.9,15.7,15.9,12,10.7,13.3,11.5
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",26.8,24.2,23.1,26.1,22.2,20.6,22
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,15.7,12.2,10.8,12.8,12.1,10.8,10.2
Yorkshire and The Humber,E06000012,North East Lincolnshire,22.8,19.9,20,21.2,22.2,18.4,16.5
Yorkshire and The Humber,E06000013,North Lincolnshire,20.9,18.5,20.8,21,17.8,13.7,12.3
Yorkshire and The Humber,E06000014,York,14.6,12.6,9,11.5,11.9,11.7,9.2
Yorkshire and The Humber,E07000163,Craven,14.6,10.1,7.4,12.8,13.8,8.4,9.4
Yorkshire and The Humber,E07000164,Hambleton,17.2,13.2,17,13.5,8.4,9.7,10.7
Yorkshire and The Humber,E07000165,Harrogate,10.1,13.2,18.9,14,14.4,9.4,9
Yorkshire and The Humber,E07000166,Richmondshire,10.6,14.2,14.3,6.3,9.8,14.6,10.2
Yorkshire and The Humber,E07000167,Ryedale,12.6,15,14.4,14.6,10.4,2.2,14
Yorkshire and The Humber,E07000168,Scarborough,12.8,13.8,17.9,13.6,13.6,14.7,15.5
Yorkshire and The Humber,E07000169,Selby,15.9,12.3,13.5,6.8,9.9,14.5,8.9
Yorkshire and The Humber,E08000016,Barnsley,21.2,20.6,18.2,17.4,18.3,16.1,17
Yorkshire and The Humber,E08000017,Doncaster,19.6,19.8,19.7,19.6,19.1,19.4,19.6
Yorkshire and The Humber,E08000018,Rotherham,18.1,18.3,16.2,18.9,17.8,15.2,16.9
Yorkshire and The Humber,E08000019,Sheffield,18.4,16,17,12.5,13.9,11.7,13.3
Yorkshire and The Humber,E08000032,Bradford,20.9,22.2,18.9,18.5,16.5,16.2,15.4
Yorkshire and The Humber,E08000033,Calderdale,18.7,18.7,17.1,15.5,16.1,14.7,14.8
Yorkshire and The Humber,E08000034,Kirklees,16.4,16.8,17.1,15.1,14.3,14.4,13.6
Yorkshire and The Humber,E08000035,Leeds,18.5,17.8,16.7,18.2,15.3,14.3,12.1
Yorkshire and The Humber,E08000036,Wakefield,21.9,19.5,17.9,19.3,16.7,20.3,15.6
East Midlands,E06000015,Derby,18.7,17.8,18.9,19.2,16.7,14,13.2
East Midlands,E06000016,Leicester,20.1,17,17.7,17.3,15.4,15.2,12.8
East Midlands,E06000017,Rutland,11.6,12.3,9.3,10.8,10.2,10.4,13
East Midlands,E06000018,Nottingham,24.1,21.5,19.4,20.6,20.9,16.4,16.5
East Midlands,E07000032,Amber Valley,18.4,10.7,15.2,15.4,12.5,15,15.9
East Midlands,E07000033,Bolsover,19.6,18,16.7,18.2,10.6,16,15.9
East Midlands,E07000034,Chesterfield,18.2,16.3,17.5,17.3,13.7,18,11.4
East Midlands,E07000035,Derbyshire Dales,12.2,14.3,10.4,9.5,9.5,11.5,13.3
East Midlands,E07000036,Erewash,20.4,10.7,15.4,11,16.6,9.8,18.6
East Midlands,E07000037,High Peak,17.2,16.2,15.8,15.5,12.3,18.8,15.3
East Midlands,E07000038,North East Derbyshire,20.8,14.7,15.9,9.3,8.6,8,9.9
East Midlands,E07000039,South Derbyshire,13.9,13.4,13,14.4,15.8,15.5,11.9
East Midlands,E07000129,Blaby,15.5,20.3,12.5,11.4,10.9,9,11.7
East Midlands,E07000130,Charnwood,18,10.5,13.5,12.8,12,18.9,15.4
East Midlands,E07000131,Harborough,10.5,11.2,10.6,8.2,8.6,7.4,10
East Midlands,E07000132,Hinckley and Bosworth,23.5,11.6,11.9,15,10.4,7,7.4
East Midlands,E07000133,Melton,14.2,10.5,14.7,17.3,20.9,9.2,11
East Midlands,E07000134,North West Leicestershire,22.1,19,12,19.3,14.1,6.7,13.1
East Midlands,E07000135,Oadby and Wigston,13,11.1,7.5,6.3,10,13.1,3.2
East Midlands,E07000136,Boston,23.3,24.9,20.5,22.4,18.4,8.1,12
East Midlands,E07000137,East Lindsey,20.5,18.4,16.8,16.6,14.9,15.1,12.5
East Midlands,E07000138,Lincoln,19.8,21,17.6,26.1,24.8,17.5,14.7
East Midlands,E07000139,North Kesteven,11.7,11.1,15.7,13.6,9.3,13.5,16
East Midlands,E07000140,South Holland,16.7,19,15.6,19.1,19.5,19.4,19.4
East Midlands,E07000141,South Kesteven,12.3,16,14.5,15.8,9.6,10.7,6.6
East Midlands,E07000142,West Lindsey,18.9,18,15.4,13.3,15.5,12.2,14.8
East Midlands,E07000150,Corby,32.3,20,16,19.7,27.5,23.4,23.3
East Midlands,E07000151,Daventry,13.5,19.1,12.8,16.1,14,11.1,10.4
East Midlands,E07000152,East Northamptonshire,21.6,20.3,14.4,9.9,17.2,15.1,12.1
East Midlands,E07000153,Kettering,19,13.2,18.5,16.5,9.1,14.6,14.4
East Midlands,E07000154,Northampton,18.7,18,21.5,17.2,18.8,13.8,12.6
East Midlands,E07000155,South Northamptonshire,12.2,8,9.2,7.2,6.7,9,10.8
East Midlands,E07000156,Wellingborough,18.3,15.2,10.1,19.9,21,10.5,16.8
East Midlands,E07000170,Ashfield,17.4,21.1,15.7,16.6,19.8,13.9,10.4
East Midlands,E07000171,Bassetlaw,23.6,14.9,19.6,18.6,15.7,12.6,12.4
East Midlands,E07000172,Broxtowe,12,16.5,18.7,13.4,10.5,14.6,18
East Midlands,E07000173,Gedling,17.4,12.1,12.6,15.2,14.2,15.4,9.8
East Midlands,E07000174,Mansfield,15.6,20.9,18.6,23.1,18.8,22.2,24.8
East Midlands,E07000175,Newark and Sherwood,17.1,16.3,12.2,16.5,15.4,12.1,11.1
East Midlands,E07000176,Rushcliffe,7.5,8.6,9.7,3.6,5.9,5.8,8.2
West Midlands,E06000019,"Herefordshire, County of",17.5,14,12.2,12.6,12.3,13,11.9
West Midlands,E06000020,Telford and Wrekin,18.2,15.6,16.5,16.2,15.4,15.8,13.7
West Midlands,E06000021,Stoke-on-Trent,18.7,20.3,18.9,18.7,18.2,17.2,16.5
West Midlands,E06000051,Shropshire,14.5,17.2,14,13.6,13.7,10.8,13.2
West Midlands,E07000192,Cannock Chase,18.8,20.1,16.4,12.2,17.6,16.1,14.9
West Midlands,E07000193,East Staffordshire,14.2,20.2,15.5,14.1,16.7,18.3,11.6
West Midlands,E07000194,Lichfield,16,10.8,9.7,10.2,5.4,7.5,7.1
West Midlands,E07000195,Newcastle-under-Lyme,13.1,20.2,18.6,18.3,16.6,15.5,11.4
West Midlands,E07000196,South Staffordshire,9,10.7,11.2,12.4,9.4,11.6,7.7
West Midlands,E07000197,Stafford,12.3,15.3,8.5,9.2,13.4,15,6.9
West Midlands,E07000198,Staffordshire Moorlands,14.1,9,11.1,8.7,14.8,12.8,8.5
West Midlands,E07000199,Tamworth,12.3,16.7,18.5,13.2,19.4,15,12.3
West Midlands,E07000218,North Warwickshire,10.7,6.4,5.7,14.4,15.1,16.9,14.8
West Midlands,E07000219,Nuneaton and Bedworth,15.9,19.1,16.4,16.6,14.5,19,15.2
West Midlands,E07000220,Rugby,11.9,15.8,14,23.1,14.3,10.7,15.7
West Midlands,E07000221,Stratford-on-Avon,11.9,11.1,9.8,9.4,11.8,10.6,9
West Midlands,E07000222,Warwick,9.8,15.6,13.9,9.9,12.1,12,16.1
West Midlands,E07000234,Bromsgrove,13.6,12,12.6,8.5,10.8,15.9,11.1
West Midlands,E07000235,Malvern Hills,9.5,12.4,10.6,13,11.6,8.8,15.5
West Midlands,E07000236,Redditch,21.4,19.4,24.8,20.5,9.8,15.4,17.1
West Midlands,E07000237,Worcester,22.5,15.4,11,10.5,10.7,8.9,12.3
West Midlands,E07000238,Wychavon,10.2,8.5,15.5,6.8,10.8,8.1,15.7
West Midlands,E07000239,Wyre Forest,18.2,15.6,14.2,14.8,11.1,13.4,13.1
West Midlands,E08000025,Birmingham,15.9,14.3,13.7,16.2,14.8,19.4,16.1
West Midlands,E08000026,Coventry,16.7,16.3,15.9,15.9,15.1,17.1,13.7
West Midlands,E08000027,Dudley,18.5,15.6,13.7,13,13.5,14.2,13.7
West Midlands,E08000028,Sandwell,17.7,19,17.4,16.7,15.3,14.4,18.1
West Midlands,E08000029,Solihull,11.6,11.7,10.5,11.4,12.6,11.5,10.8
West Midlands,E08000030,Walsall,17.6,16,14.5,15.6,15,15.1,14
West Midlands,E08000031,Wolverhampton,19.3,16.5,14.4,16.7,15.1,11.4,13.6
East of England,E06000031,Peterborough,18.1,17.6,17.6,19.5,18.8,15.7,14.4
East of England,E06000032,Luton,15.8,16.3,14.3,16,16.8,17.2,14.1
East of England,E06000033,Southend-on-Sea,18.8,17.2,18,15.9,13.2,13.3,12.9
East of England,E06000034,Thurrock,21.3,20.8,17.7,17.9,17.5,14,12.6
East of England,E06000055,Bedford,17.3,15.1,16.2,15.3,10.8,16.7,9.9
East of England,E06000056,Central Bedfordshire,16.7,10.3,15.8,13.8,13.7,14.8,11.5
East of England,E07000008,Cambridge,17.7,15.1,17,14.1,17.1,15,14.3
East of England,E07000009,East Cambridgeshire,14.4,15.3,15.3,10.8,13.5,15.5,5.5
East of England,E07000010,Fenland,26.4,21.6,16.3,19.4,21.9,22.8,27.8
East of England,E07000011,Huntingdonshire,13.9,14,14,14.4,9.9,17.2,12.7
East of England,E07000012,South Cambridgeshire,12.8,12.8,11.3,10.4,7.2,12.3,6.3
East of England,E07000066,Basildon,17.8,16.8,16.7,15.7,18.7,12.2,13.3
East of England,E07000067,Braintree,20.2,15.8,17.2,16.1,18.5,17.8,9.5
East of England,E07000068,Brentwood,16.1,12,6.5,6.8,11.5,6.7,14.1
