code,area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E09000001,City of London,0.183788721,0.143740286,0.107265199,0.144162029,0.116491929,0.084644142,0.163809381,0.118422823,0.123437955,0.180398901,0.211584237,0.143618176,0.213439824,0.404066318,0.478711505,0.433957525,0.392303381,0.313458185,0.392143719,0.360060618
E09000002,Barking and Dagenham,1.807812691,2.22739012,2.856945133,2.438937928,1.961343699,1.931532294,1.963211664,2.123536536,2.262104548,2.501981016,2.436745129,1.927155525,1.294409254,1.318025847,1.488330475,1.285128234,1.570458933,1.761065074,1.60432587,1.627109374
E09000003,Barnet,4.017732827,4.402192332,4.020714871,3.923097829,4.797565556,4.293338976,4.600417651,4.307630198,4.18302104,4.297540168,4.164683064,4.405404051,3.785114294,3.691113748,3.529938111,4.10794519,4.422442244,4.926422815,5.153729276,5.257340793
E09000004,Bexley,2.407075309,2.520713793,2.663175742,2.655180971,2.523595559,2.420587336,2.194545523,2.652402099,3.165004646,2.142869186,1.916600547,1.970574974,2.149889838,2.355450085,2.420401163,2.327463511,1.799613924,1.735988419,1.783080842,2.146690519
E09000005,Brent,3.974291856,3.230066261,2.862712079,3.233010741,2.699522145,2.66629047,2.93856523,3.189341946,3.228804039,1.90514727,2.082341532,1.791887243,1.666207656,1.768591861,1.679218552,2.31909134,2.860701164,3.11634428,3.579568307,3.205223158
E09000006,Bromley,4.260556713,4.372976826,4.360964695,4.179517175,4.299503126,4.247490066,4.397844219,4.467770152,4.424349177,4.472881156,4.665432425,4.594111655,4.552809143,4.226661963,4.45306092,4.177713281,3.823401208,3.976929478,4.073378916,4.215899639
E09000007,Camden,3.396192789,3.384324129,2.991891674,3.221194182,3.441266671,3.047189109,3.605056833,3.859507469,3.976366486,4.727462782,5.040994446,4.370334497,4.90223079,4.839175192,5.620759078,5.411213128,5.784918114,5.438214542,5.02524914,4.922347686
E09000008,Croydon,5.176158704,5.113882039,5.355186215,4.789251657,4.27810665,4.780042792,4.511635468,4.895707173,5.001317596,4.798273566,4.520849863,5.227033617,4.836821812,5.629670013,5.473119081,5.176792342,5.092471511,4.428309264,4.113598784,4.496199993
E09000009,Ealing,3.804983459,3.471970644,3.487849044,4.024720243,3.657608825,3.571512544,3.373722975,3.279504777,3.292603431,4.273936574,4.459137794,5.358961941,6.174263288,6.713593945,6.260532399,3.620963916,3.164580609,3.40472581,3.606381552,3.594909016
E09000010,Enfield,5.005736436,5.026235524,5.251381184,3.803750576,3.012148444,2.94843761,3.203661327,3.393890459,3.511740475,3.749599582,3.38358459,3.184649555,3.955521895,3.766475323,4.429199911,4.406552619,3.864499658,3.501612885,3.302498101,3.451340542
