Country,Legal Voting Age
Afghanistan,18
Albania,18
Algeria,18
American Saoa,18
Andorra,18
Angola,18
Anguilla,18
Antigua and Barbuda,18
Argentina,18
Armenia,18
Aruba,18
Australia,18
Austria,16
Azerbaijan,18
Bahamas,18
Bahrain,20
Bangladesh,18
Barbados,18
Belarus,18
Belgium,18
Belize,18
Benin,18
Bermuda,18
Bhutan,18
Bolivia,18
Bosnia and Herzegovina,18
Botswana,18
Brazil,16
British Virgin Islands,18
Brunei,18
Bulgaria,18
Burkina Faso,18
Burundi,18
Cambodia,18
Cameroon,21
Canada,18
Cape Verde,18
Cayman Islands,18
Central African Republic,18
Chad,18
Chile,18
China,18
Cocos Islands,18
Colomia,18
Comoros,18
Democratic Republic of the Congo,18
Republic of the Congo,18
Cook Islands,18
Costa Rica,18
Cote d'Ivoire,18
Croatia,18
Cuba,16
Curacao,18
Cyprus,18
Czech Republic,18
Denmark,18
Djibouti,18
Dominica,18
Dominican Republic,18
East Timor,17
Ecuador,16
Egypt,18
El Salvador,18
England,18
Equatorial Guinea,18
Eritrea,18
Estonia,18
Ethiopia,16
Falkland Islands,18
Faroe Islands,18
Fiji,18
Finland,18
France,18
French Polynesia,18
Gabon,18
Gambia,18
Georgia,18
Germany,18
Ghana,18
Gibraltar,18
Greece,17
Greenland,18
Grenada,18
Gaudeloupe,18
Guam,18
Guatemala,18
Guernsey,16
Guinea,18
Guinea-Bissau,18
Guyana,18
Haiti,18
Honduras,18
Hong Kong,18
Hungary,18
Iceland,18
India,18
Indonesia,17
Iran,18
Iraq,18
Ireland,18
Isle of Man,16
Israel,18
Italy,18
Jamaica,18
Japan,18
Jersey,16
Jordan,18
Kazakhstan,18
Kenya,18
Kiribati,18
North Korea,17
South Korea,19
Kosovo,18
Kuwait,21
Kyrgyzstan,18
Laos,18
Latvia,18
Lebanon,18
Lesotho,18
Liberia,18
Libya,18
Liechtenstein,18
Lithuania,18
Luxembourg,18
Macau,18
Macedonia,18
Madagascar,18
Malawi,18
Malaysia,21
Maldives,18
Mali,18
Malta,18
Marshall islands,18
Martinique,18
Mauritania,18
Mauritius,18
Mayotte,18
Mexico,18
Federated States of Micronesia,18
Moldova,18
Monaco,18
Mongolia,18
Montenegro,18
Montserrat,18
Morocco,18
Mozambique,18
Myanmar,18
Namibia,18
Nauru,20
Nepal,18
Netherlands,18
New Caledonia,18
New Zealand,18
Nicaragua,16
Niger,18
Nigeria,18
Niue,18
Norfolk Island,18
Northern Mariana Islands,18
Norway,18
Oman,21
Pakistan,18
Palau,18
Panama,18
Papua New guinea,18
Paraguay,18
Peru,18
Philippines,18
Pitcairn Islands,18
Poland,18
Portugal,18
Puerto Rico,18
Watar,18
Reunion,18
Romania,18
Russia,18
Rwanda,18
Saint Helena,18
Saint Kitts and Nevis,18
St. Lucia,18
Saint Pierre and Miquelon,18
Saint Vincent and the Grenadines,18
Samoa,21
San Marino,18
Sao Tome and Principe,18
Saudi Arabia,18
Scotland,16
Senegal,18
Serbia,18
Seychelles,18
Sierra Leone,18
Singapore,21
Sint Maarten,18
Slovakia,18
Slovenia,18
Solomon Islands,18
Somalia,18
South Africa,18
South Sudan,17
Spain,18
Sri Lanka,18
Sudan,17
Suriname,18
Swaziland,18
Sweden,18
Switzerland,18
Syria,18
Taiwan,20
Tajikistan,18
Tanzania,18
Thailand,18
Togo,18
Tokelau,21
Tonga,21
Trinidad and Tobago,18
Tunisia,18
Turkey,18
Turkmenistan,18
Turks and Caicos,18
Tuvalu,18
Uganda,18
Ukraine,18
United Arab Emirates,25
United Kingdom,18
United States,18
Uruguay,18
Uzbekistan,18
Vanuatu,18
Venezuela,18
Vietnam,18
Virgin Islands of the United States,18
Wallis and Futuna,18
Western Sahara,18
Yemen,18
Zambia,18
Zimbabwe,18
