rank,country,representation,violence ,iso3
1,Denmark,43.6,3.0,DNK
2,Switzerland,39.3,2.0,CHE
3,Sweden,46.4,6.0,SWE
4,Finland,45.5,8.0,FIN
4,Iceland,47.6,3.0,ISL
4,Luxembourg,35.0,4.0,LUX
7,Norway,46.2,4.0,NOR
8,Austria,40.6,4.0,AUT
9,Netherlands,37.8,5.0,NLD
10,New Zealand,50.0,4.0,NZL
11,Australia,44.5,3.0,AUS
11,Belgium,43.3,5.0,BEL
13,Estonia,27.7,4.0,EST
13,Ireland,27.4,3.0,IRL
15,Singapore,29.1,2.0,SGP
16,Lithuania,28.4,5.0,LTU
17,Canada,35.2,3.0,CAN
18,Czechia,23.8,4.0,CZE
19,Portugal,36.1,4.0,PRT
20,Latvia,29.0,6.0,LVA
21,Germany,35.5,3.0,DEU
22,United Arab Emirates,50.0,17.9,ARE
23,Japan,15.5,4.0,JPN
24,France,36.8,5.0,FRA
25,Croatia,31.8,4.0,HRV
26,United Kingdom,31.5,4.0,GBR
27,Poland,27.5,3.0,POL
27,Spain,41.0,3.0,ESP
29,Slovakia,22.0,6.0,SVK
30,South Korea,19.1,8.0,KOR
31,Malta,27.8,4.0,MLT
32,Hungary,13.1,6.0,HUN
32,Serbia,34.8,4.0,SRB
34,Italy,33.0,4.0,ITA
35,Bulgaria,24.2,6.0,BGR
36,Slovenia,31.5,3.0,SVN
37,United States,27.9,6.0,USA
38,Taiwan,42.5,7.0,TWN
39,Georgia,18.4,3.0,GEO
39,Hong Kong,17.1,3.0,HKG
41,Montenegro,28.4,4.0,MNE
42,Romania,18.9,7.0,ROU
43,Seychelles,22.9,11.7,SYC
44,North Macedonia,42.5,4.0,MKD
45,Albania,35.7,6.0,ALB
46,Mongolia,17.1,12.0,MNG
47,Barbados,32.7,27.0,BRB
48,Armenia,35.5,5.0,ARM
49,Guyana,36.6,10.0,GUY
50,Argentina,44.4,4.0,ARG
51,Greece,21.0,5.0,GRC
52,Thailand,14.4,9.0,THA
53,Moldova,38.6,9.0,MDA
54,Panama,22.5,8.0,PAN
55,Bosnia and Herzegovina,17.5,3.0,BIH
56,Bahrain,22.5,18.1,BHR
56,Russian Federation,17.8,6.0,RUS
58,Turkmenistan,25.9,7.2,TKM
59,Uruguay,26.9,4.0,URY
60,Costa Rica,47.4,7.0,CRI
60,Sri Lanka,5.3,4.0,LKA
61,Kuwait,6.3,18.1,KWT
63,Cyprus,14.3,3.0,CYP
64,Cabo Verde,41.7,11.0,CPV
64,Fiji,10.9,23.0,FJI
64,Malaysia,14.7,13.1,MYS
67,Saudi Arabia,19.9,18.0,SAU
68,Chile,32.7,6.0,CHL
69,Belarus,34.7,6.0,BLR
70,Kazakhstan,25.6,6.0,KAZ
71,Trinidad and Tobago,33.8,8.0,TTO
72,Maldives,4.6,6.0,MDV
73,Nicaragua,51.6,6.0,NIC
73,Peru,38.8,11.0,PER
75,Oman,9.9,18.1,OMN
76,Samoa,13.0,18.0,WSM
77,Jamaica,31.0,7.0,JAM
78,Viet Nam,30.3,10.0,VNM
79,Lao PDR,22.0,8.0,LAO
80,Israel,24.2,6.0,ISR
80,Qatar,4.4,18.0,QAT
82,Bhutan,16.9,9.0,BTN
82,China,24.9,8.0,CHN
82,Indonesia,21.6,9.0,IDN
