country,year,value,iso3
Afghanistan,2022,125.0,AFG
Africa,2022,550.28,AFR
Albania,2022,24.39,ALB
Algeria,2022,633.65,DZA
American Samoa,2022,611.11,ASM
Angola,2022,172.16,AGO
Antigua and Barbuda,2022,611.11,ATG
Argentina,2022,392.87,ARG
Armenia,2022,240.89,ARM
Aruba,2022,550.0,ABW
ASEAN,2022,554.27,
Asia,2022,591.06,
Australia,2022,577.86,AUS
Austria,2022,141.06,AUT
Azerbaijan,2022,671.39,AZE
Bahamas,2022,653.66,BHS
Bahrain,2022,902.75,BHR
Bangladesh,2022,676.48,BGD
Barbados,2022,605.51,BRB
Belarus,2022,439.22,BLR
Belgium,2022,139.4,BEL
Belize,2022,170.21,BLZ
Benin,2022,595.96,BEN
Bhutan,2022,24.14,BTN
Bolivia,2022,485.86,BOL
Bosnia Herzegovina,2022,683.18,BIH
Botswana,2022,847.66,BWA
Brazil,2022,103.33,BRA
Brunei Darussalam,2022,892.86,BRN
Bulgaria,2022,476.33,BGR
Burkina Faso,2022,568.05,BFA
Burundi,2022,230.77,BDI
Cabo Verde,2022,480.0,CPV
Cambodia,2022,305.16,KHM
Cameroon,2022,280.98,CMR
Canada,2022,156.8,CAN
Cayman Islands,2022,642.86,CYM
Central African Republic,2022,0,CAF
Chad,2022,615.39,TCD
Chile,2022,352.41,CHL
China,2022,586.7,CHN
Colombia,2022,202.15,COL
Comoros,2022,642.86,COM
Congo,2022,709.35,COG
Congo (DRC),2022,27.4,COD
Cook Islands (the),2022,250.0,
Costa Rica,2022,24.12,CRI
Cote d'Ivoire,2022,413.16,CIV
Croatia,2022,244.68,HRV
Cuba,2022,640.26,CUB
Cyprus,2022,555.13,CYP
Czechia,2022,488.36,CZE
Denmark,2022,201.2,DNK
Djibouti,2022,450.0,DJI
Dominica,2022,600.0,DMA
Dominican Republic,2022,580.06,DOM
Ecuador,2022,181.19,ECU
Egypt,2022,574.73,EGY
El Salvador,2022,112.95,SLV
Equatorial Guinea,2022,602.65,GNQ
Eritrea,2022,590.91,ERI
Estonia,2022,487.7,EST
Eswatini,2022,127.27,SWZ
Ethiopia,2022,23.55,ETH
EU,2022,291.71,REU
Europe,2022,329.69,
Falkland Islands [Malvinas],2022,1000.0,
Faroe Islands,2022,354.17,FRO
Fiji,2022,280.37,FJI
Finland,2022,129.83,FIN
France,2022,78.55,FRA
French Guiana,2022,204.08,GUF
French Polynesia,2022,436.62,PYF
G20,2022,487.51,
G7,2022,375.76,
Gabon,2022,429.47,GAB
